PROPERTY VALUE,ONTOLOGY TERM LABEL(S),CONFIDENCE,ONTOLOGY TERM(S)
Other and unspecified immunodeficiencies with predominantly antibody defects,glaucoma,Medium,EFO_0000516
Certain disorders involving the immune mechanism,immune system disease,Good,EFO_0000540
"Other and unspecified disorders involving the immune mechanism, not elsewhere classified",immune system disease,Medium,EFO_0000540
"Other and unspecified disorders involving the immune mechanism, not elsewhere classified",cardiovascular disease,Medium,EFO_0000319
"Other disorders involving the immune mechanism, not elsewhere classified",immune system disease,Medium,EFO_0000540
"Other disorders involving the immune mechanism, not elsewhere classified",digestive system disease,Medium,EFO_0000405
Idiopathic thrombocytopenic purpura,autoimmune thrombocytopenic purpura,Good,EFO_0007160
Nonhereditary hypogammaglobulinemia,retinoblastoma (nonhereditary),Good,EFO_0005717
Nutritional anaemias,nutritional disorder,Medium,EFO_0001069
Nutritional anaemias,marasmus,Medium,EFO_1001033
Other nutritional anaemias,nutritional disorder,Medium,EFO_0001069
Other nutritional anaemias,marasmus,Medium,EFO_1001033
Other anaemias,Other genetic epidermal disease,Medium,Orphanet_79360
Other anaemias,Other metabolic disease,Medium,Orphanet_91088
Oher diseases of blood and blood-forming organs,ATC Code B Blood and blood forming organs,Medium,EFO_0005635
Oher diseases of blood and blood-forming organs,hematologic disease,Medium,EFO_0005803
Other disorders of white blood cells,Abnormal blood ion concentration,Medium,HP_0003111
Other disorders of white blood cells,leukocyte disease,Medium,MONDO_0004805
Purpura and other haemorrhagic conditions,N/A,Did not map,N/A
Sarcoidosis,Sarcoidosis,Good,Orphanet_797
Secondary polycythaemia,secondary malignant neoplasm,Good,EFO_0009812
Diseases of spleen,splenic disease,Good,EFO_0009002
"Thrombocytopenia, unspecified",Thrombocytopenia,Medium,HP_0001873
"Thrombocytopenia, unspecified",acquired thrombocytopenia,Medium,MONDO_0001198
Von Willebrand disease,Von Willebrand disease,Good,Orphanet_903
Other and unspecified disorders of white blood cells,glaucoma,Medium,EFO_0000516
Other and unspecified disorders of white blood cells,schizophrenia,Medium,EFO_0000692
Any death,event death,Good,EFO_0000480
Dermatopolymyositis (FG),fg syndrome,Good,EFO_0009297
"Diabetes, varying definitions",lipoatrophic diabetes,Good,EFO_0007346
Other disorders of thyroid,thyroid disease,Medium,EFO_1000627
Other disorders of thyroid,glaucoma,Medium,EFO_0000516
AION (anterior ischemic optic neuropathy),anterior ischemic optic neuropathy,Good,EFO_1000809
Background diabetic retinopathy,non-proliferative diabetic retinopathy,Medium,EFO_0009760
Background diabetic retinopathy,diabetic retinopathy,Medium,EFO_0003770
Severe non-proliferative background diabetic retinopathy,non-proliferative diabetic retinopathy,Medium,EFO_0009760
Severe non-proliferative background diabetic retinopathy,proliferative diabetic retinopathy,Medium,EFO_0009322
Diabetes-related co-morbidities/complications (more controls excluded),macrovascular complications of diabetes,Good,EFO_0010977
Diabetic hypoglycemia,diabetic foot,Good,EFO_1001459
Diabetic ketoacidosis,diabetic ketoacidosis,Good,EFO_1000897
Diabetic maculopathy,diabetic maculopathy,Good,EFO_0010133
Diabetic maculopathy (more controls excluded),diabetic maculopathy,Medium,EFO_0010133
Diabetic maculopathy (more controls excluded),myopic macular degeneration,Medium,EFO_0009201
Neovascular glaucoma,neovascular glaucoma,Good,EFO_1001060
Diabetic nephropathy,diabetic nephropathy,Good,EFO_0000401
Diabetic nephropathy (more controls excluded),diabetic nephropathy,Good,EFO_0000401
Diabetic neuropathy,diabetic neuropathy,Good,EFO_1000783
"Diabetes, opthalmic co-morbidities",lipoatrophic diabetes,Good,EFO_0007346
"Other diabetes, wide definition",other rare diabetes mellitus,Medium,MONDO_0015888
"Other diabetes, wide definition",definition,Medium,IAO_0000115
Peripheral atherosclerosis,atherosclerosis,Medium,EFO_0003914
Peripheral atherosclerosis,cerebral atherosclerosis,Medium,EFO_1000860
Peripheral angiopathy,peripheral vascular disease,Good,EFO_0003875
Diabetic polyneuropathy,diabetic polyneuropathy,Good,MONDO_0001583
Unspecified diabetic retinopathy,diabetic retinopathy,Medium,EFO_0003770
Unspecified diabetic retinopathy,proliferative diabetic retinopathy,Medium,EFO_0009322
Proliferative diabetic retinopathy,proliferative diabetic retinopathy,Good,EFO_0009322
Diabetic retinopathy,diabetic retinopathy,Good,EFO_0003770
Diabetic retinopathy (more controls excluded),diabetic retinopathy,Medium,EFO_0003770
Diabetic retinopathy (more controls excluded),proliferative diabetic retinopathy,Medium,EFO_0009322
Retinal vein occlusion (central or branch),retinal vein occlusion,Good,EFO_1001157
"Diabetes, several complications",macrovascular complications of diabetes,Good,EFO_0010977
Vitreous bleeding (caused by prolif. dmrp when together with H36.03*),platelet-type bleeding disorder 19,Medium,MONDO_0014518
Vitreous bleeding (caused by prolif. dmrp when together with H36.03*),platelet-type bleeding disorder 17,Medium,MONDO_0008553
Dry age-related macular degeneration (includes geographic atrophy),atrophic macular degeneration,Good,EFO_1001492
Acidosis,acidosis,Good,EFO_1000014
Adrenocortical insufficiency,adrenocortical insufficiency,Good,EFO_0009491
Other disorders of adrenal gland,adrenal gland disease,Good,EFO_0005539
"Amyloidosis, other/unspecified",amyloidosis,Good,EFO_1001875
Amyloidosis,amyloidosis,Good,EFO_1001875
Carcinoid syndrome,carcinoid syndrome,Good,EFO_1000852
Disorders of calcium metabolism,calcium metabolic disease,Good,EFO_0005769
Congenital iodine-deficiency syndrome/hypothyroidism,Congenital hypothyroidism,Medium,Orphanet_442
Congenital iodine-deficiency syndrome/hypothyroidism,X-linked central congenital hypothyroidism with late-onset testicular enlargement,Medium,Orphanet_329235
Cushing syndrome,Cushing syndrome,Medium,EFO_0003099
Cushing syndrome,hyperaldosteronism,Medium,EFO_0009452
Diabetes mellitus,diabetes mellitus,Good,EFO_0000400
Diabetes insipidus,diabetes insipidus,Good,MONDO_0004782
Disorders of puberty,puberty,Good,EFO_0001382
Type 1 diabetes,type I diabetes mellitus,Good,EFO_0001359
Type 1 diabetes with coma,type I diabetes mellitus,Medium,EFO_0001359
Type 1 diabetes with coma,type 1 diabetes nephropathy,Medium,EFO_0004996
Type 1 diabetes with ketoacidosis,diabetic ketoacidosis,Medium,EFO_1000897
Type 1 diabetes with ketoacidosis,type I diabetes mellitus,Medium,EFO_0001359
Type 1 diabetes with other specified/multiple/unspecified complications,type I diabetes mellitus,Medium,EFO_0001359
Type 1 diabetes with other specified/multiple/unspecified complications,type 1 diabetes nephropathy,Medium,EFO_0004996
Type 1 diabetes with neurological complications,type I diabetes mellitus,Medium,EFO_0001359
Type 1 diabetes with neurological complications,type 1 diabetes nephropathy,Medium,EFO_0004996
Type 1 diabetes without complications,type 1 diabetes nephropathy,Medium,EFO_0004996
Type 1 diabetes without complications,autoimmune type 1 diabetes,Medium,EFO_0009756
Type 1 diabetes with ophthalmic complications,type I diabetes mellitus,Medium,EFO_0001359
Type 1 diabetes with ophthalmic complications,type 1 diabetes nephropathy,Medium,EFO_0004996
Type 1 diabetes with peripheral circulatory complications,type I diabetes mellitus,Medium,EFO_0001359
Type 1 diabetes with peripheral circulatory complications,type 1 diabetes nephropathy,Medium,EFO_0004996
Type 1 diabetes with renal complications,type I diabetes mellitus,Good,EFO_0001359
"Type 1 diabetes, strict (exclude DM2)",type 1 diabetes nephropathy,Medium,EFO_0004996
"Type 1 diabetes, strict (exclude DM2)",autoimmune type 1 diabetes,Medium,EFO_0009756
Type 2 diabetes,type II diabetes mellitus,Good,EFO_0001360
Type 2 diabetes with coma,type 2 diabetes nephropathy,Medium,EFO_0004997
Type 2 diabetes with coma,type II diabetes mellitus with acanthosis nigricans,Medium,EFO_1001503
Type 2 diabetes with ketoacidosis,diabetic ketoacidosis,Medium,EFO_1000897
Type 2 diabetes with ketoacidosis,type II diabetes mellitus with acanthosis nigricans,Medium,EFO_1001503
Type 2 diabetes with other specified/multiple/unspecified complications,type II diabetes mellitus with acanthosis nigricans,Medium,EFO_1001503
Type 2 diabetes with other specified/multiple/unspecified complications,type I diabetes mellitus,Medium,EFO_0001359
Type 2 diabetes with neurological complications,type II diabetes mellitus with acanthosis nigricans,Medium,EFO_1001503
Type 2 diabetes with neurological complications,type 2 diabetes nephropathy,Medium,EFO_0004997
Type 2 diabetes without complications,type 2 diabetes nephropathy,Good,EFO_0004997
Type 2 diabetes with ophthalmic complications,type II diabetes mellitus with acanthosis nigricans,Medium,EFO_1001503
Type 2 diabetes with ophthalmic complications,type 2 diabetes nephropathy,Medium,EFO_0004997
Type 2 diabetes with peripheral circulatory complications,type II diabetes mellitus with acanthosis nigricans,Medium,EFO_1001503
Type 2 diabetes with peripheral circulatory complications,type 2 diabetes nephropathy,Medium,EFO_0004997
Type 2 diabetes with renal complications,type II diabetes mellitus with acanthosis nigricans,Good,EFO_1001503
"Type 2 diabetes, strict (exclude DM1)",type 2 diabetes nephropathy,Good,EFO_0004997
Unspecified diabetes,type I diabetes mellitus,Good,EFO_0001359
Unspecified diabetes with multiple/unspecified complications,type I diabetes mellitus,Good,EFO_0001359
Unspecified diabetes without complications,macrovascular complications of diabetes,Good,EFO_0010977
Other endocrine disorders,endocrine system disease,Good,EFO_0001379
"Endocrine disorders, other/unspecified",endocrine system disease,Medium,EFO_0001379
"Endocrine disorders, other/unspecified",glaucoma,Medium,EFO_0000516
Disorders of other endocrine glands,endocrine system disease,Medium,EFO_0001379
Disorders of other endocrine glands,glaucoma,Medium,EFO_0000516
"Postprocedural endocrine and metabolic disorders, not elsewhere classified",N/A,Did not map,N/A
"Endocrine, nutritional and metabolic diseases",nutritional or metabolic disease,Good,MONDO_0024297
"Other disorders of fluid, electrolyte and acid-base balance",N/A,Did not map,N/A
Other disorders of glucose regulation and pancreatic internal secretion,N/A,Did not map,N/A
Nontoxic diffuse goitre,goiter,Good,EFO_0004283
Nontoxic multinodular goitre,nontoxic goiter,Medium,MONDO_0001658
Nontoxic multinodular goitre,Familial multinodular goiter,Medium,Orphanet_276399
Other and/or unspecified nontoxic goitre,anthrax infection,Good,EFO_0000778
Nontoxic single thyroid nodule,thyroid nodule,Good,EFO_1001436
Hyperaldosteronism,hyperaldosteronism,Good,EFO_0009452
Pure hypercholesterolaemia,pure tone hearing measurement,Good,EFO_0007617
Pure hyperglyceridaemia,pure tone hearing measurement,Good,EFO_0007617
Hyperkalaemia,N/A,Did not map,N/A
Mixed hyperlipidaemia,mixed neoplasm,Medium,MONDO_0021043
Mixed hyperlipidaemia,mixed glioma,Medium,MONDO_0003268
"Hyperlipidaemia, other/unspecified",anthrax infection,Medium,EFO_0000778
"Hyperlipidaemia, other/unspecified",schizophrenia,Medium,EFO_0000692
Hyperosmolality and hypernatraemia,N/A,Did not map,N/A
Hyperparathyroidism,hyperparathyroidism,Good,EFO_0008506
Hyperfunction of pituitary gland,adrenal gland hyperfunction,Good,EFO_1000797
Hyperprolactinaemia,hyperprolactinemia,Good,EFO_0007319
Drug-induced hypoglycaemia without coma,Coma,Medium,HP_0001259
Drug-induced hypoglycaemia without coma,hyperinsulinemic hypoglycaemia,Medium,MONDO_0018619
"Hypoglycaemia, other or unspecified",hyperinsulinemic hypoglycaemia,Medium,MONDO_0018619
"Hypoglycaemia, other or unspecified",Hypoglycemia,Medium,HP_0001943
Hypokalaemia,N/A,Did not map,N/A
Hypo-osmolality and hyponatraemia,N/A,Did not map,N/A
Hypoparathyroidism,hypoparathyroidism,Good,EFO_0009451
Hypopituitarism,hypopituitarism,Good,EFO_0001380
"Hypothyroidism,other/unspecified",hypothyroidism,Medium,EFO_0004705
"Hypothyroidism,other/unspecified",anthrax infection,Medium,EFO_0000778
Disorders of iron metabolism,Disorders of vitamin D metabolism,Medium,Orphanet_289098
Disorders of iron metabolism,iron metabolism disease,Medium,MONDO_0002279
"Lactose intolerance, other/unspecified",lactose intolerance adult type,Medium,EFO_1000063
"Lactose intolerance, other/unspecified",lactose intolerance,Medium,EFO_1000062
Lactose intolerance,lactose intolerance,Good,EFO_1000062
Disorders of lipoprotein metabolism and other lipidaemias,Disorder of amino acid and other organic acid metabolism,Medium,Orphanet_79062
Disorders of lipoprotein metabolism and other lipidaemias,Disorder of other vitamins and cofactors metabolism and transport,Medium,Orphanet_309833
"Disorder of lipoprotein metabolism, unspecified",bilirubin metabolism disease,Medium,MONDO_0024431
"Disorder of lipoprotein metabolism, unspecified",Disorder of glyoxylate metabolism,Medium,Orphanet_308998
Malnutrition,malnutrition,Medium,EFO_0008572
Malnutrition,nutritional disorder,Medium,EFO_0001069
Other metabolic disorders,Other metabolic disease,Medium,Orphanet_91088
Other metabolic disorders,Metabolic disease involving other neurotransmitter deficiency,Medium,Orphanet_79219
Metabolic disorders,metabolic disease,Good,EFO_0000589
Disorders of mineral metabolism,mineral metabolism disease,Good,EFO_0009556
Other nutritional deficiencies,proteostasis deficiencies,Medium,MONDO_0021179
Other nutritional deficiencies,Odontotrichomelic syndrome,Medium,Orphanet_2723
Obesity,obesity,Good,EFO_0001073
Obesity due to excess calories,Obesity due to SIM1 deficiency,Medium,Orphanet_369873
Obesity due to excess calories,Obesity due to CEP19 deficiency,Medium,Orphanet_397615
"Obesity, other/unspecified",obesity,Good,EFO_0001073
Extreme obesity with alveolar hypoventilation,Hypoventilation,Medium,HP_0002791
Extreme obesity with alveolar hypoventilation,Perry syndrome,Medium,Orphanet_178509
Obesity and other hyperalimentation,N/A,Did not map,N/A
Ovarian dysfunction,ovarian dysfunction,Good,EFO_0009003
Primary ovarian failure,primary ovarian insufficiency,Good,EFO_0004266
Disorders of parathyroid gland,parathyroid disease,Good,EFO_0005754
Polycystic ovarian syndrome,polycystic ovary syndrome,Good,EFO_0000660
Disorders of porphyrin and bilirubin metabolism,N/A,Did not map,N/A
"Short stature, not elsewhere classified",Short stature,Medium,HP_0004322
"Short stature, not elsewhere classified",Proportionate short stature,Medium,HP_0003508
Testicular hypofunction,ovarian dysfunction,Good,EFO_0009003
Testicular dysfunction,Gallbladder dysfunction,Medium,HP_0005609
Testicular dysfunction,Abnormality of mitochondrial metabolism,Medium,HP_0003287
Disorders of the thyroid gland,thyroid disease,Good,EFO_1000627
Autoimmune thyroiditis,autoimmune thyroid disease,Medium,EFO_0006812
Autoimmune thyroiditis,Hashimoto's thyroiditis,Medium,EFO_0003779
"Thyroiditis, unspecified",atrophic thyroiditis,Medium,EFO_0006813
"Thyroiditis, unspecified",Postpartum Thyroiditis,Medium,EFO_1001403
Subacute thyroiditis,subacute thyroiditis,Good,EFO_1001194
"Disorder of thyroid, unspecified",thyroid disease,Medium,EFO_1000627
"Disorder of thyroid, unspecified",atrophy of thyroid,Medium,EFO_1000827
Thyrotoxicosis with diffuse goitr,Thyrotoxicosis,Good,EFO_0009190
Thyrotoxicosis with toxic multinodular goitre,Familial multinodular goiter,Medium,Orphanet_276399
Thyrotoxicosis with toxic multinodular goitre,nontoxic goiter,Medium,MONDO_0001658
"Thyrotoxicosis, other and/or unspecified",Thyrotoxicosis,Medium,EFO_0009190
"Thyrotoxicosis, other and/or unspecified",anthrax infection,Medium,EFO_0000778
Deficiency of other B group vitamins,Disorder of other vitamins and cofactors metabolism and transport,Medium,Orphanet_309833
Deficiency of other B group vitamins,Sulfite oxidase deficiency due to molybdenum cofactor deficiency type B,Medium,Orphanet_308393
Vitamin deficiency,vitamin deficiency,Good,EFO_0005878
Vitamin D deficiency,vitamin D deficiency,Good,EFO_0003762
Volume depletion,volume,Good,EFO_0001715
Encephalitis,encephalomyelitis,Good,EFO_0001423
Erectile dysfunction,erectile dysfunction,Good,EFO_0004234
Eosinophilic disease (BM),Kimura disease,Good,EFO_1000722
Disturbance of activity and attention,N/A,Did not map,N/A
"Mental and behavioural disorders due to alcohol, excluding acute intoxication",mental or behavioural disorder,Medium,EFO_0000677
"Mental and behavioural disorders due to alcohol, excluding acute intoxication",mental or behavioural disorder biomarker,Medium,EFO_0006848
Acute alcohol intoxication,alcohol dependence,Medium,EFO_0003829
Acute alcohol intoxication,intoxication,Medium,EFO_0009574
Alcohol dependence,alcohol dependence,Good,EFO_0003829
All anxiety disorders,anxiety disorder,Medium,EFO_0006788
All anxiety disorders,generalized anxiety disorder,Medium,EFO_1001892
Dementia in Alzheimer disease,Alzheimer's disease,Medium,EFO_0000249
Dementia in Alzheimer disease,late-onset Alzheimers disease,Medium,EFO_1001870
Anankastic personality disorder,Personality disorder,Medium,HP_0012075
Anankastic personality disorder,personality disorder (disease),Medium,MONDO_0002028
Anorexia (incl.atypical),anorexia nervosa,Good,EFO_0004215
Other anxiety disorders,anxiety disorder,Medium,EFO_0006788
Other anxiety disorders,generalized anxiety disorder,Medium,EFO_1001892
Anxious personality disorder,Personality disorder,Medium,HP_0012075
Anxious personality disorder,personality disorder (disease),Medium,MONDO_0002028
Autism,autism,Good,EFO_0003758
Behavioural syndromes associated with physiological disturbances and physical factors,N/A,Did not map,N/A
Behauvioural and emotional disorders with onset usually occuring in childhood and adolescence,N/A,Did not map,N/A
Other behavioural and emotional disorders with onset usually occuring in childhood and adolescence,N/A,Did not map,N/A
Bipolar affective disorders,bipolar disorder,Medium,EFO_0000289
Bipolar affective disorders,mood disorder,Medium,EFO_0004247
Bulimia nervosa (incl. atypical),bulimia nervosa,Medium,EFO_0005204
Bulimia nervosa (incl. atypical),anorexia nervosa,Medium,EFO_0004215
Mental and behavioural disorders due to cannabinoids,mental or behavioural disorder,Medium,EFO_0000677
Mental and behavioural disorders due to cannabinoids,mental or behavioural disorder biomarker,Medium,EFO_0006848
Conduct disorder,conduct disorder,Good,EFO_0004216
Mixed disorders of conduct and emotions,N/A,Did not map,N/A
"Delirium, not induced by alcohol and other psychoactive substances",N/A,Did not map,N/A
Persistent delusional disorders,delusional disorder,Medium,MONDO_0004359
Persistent delusional disorders,communication disorder,Medium,MONDO_0002182
Dementia,Dementia,Medium,HP_0000726
Dementia,dementia (disease),Medium,MONDO_0001627
Dementia in other diseases classified elsewhere,cardiomyopathy,Medium,EFO_0000318
Dementia in other diseases classified elsewhere,respiratory system disease,Medium,EFO_0000684
Unspecified dementia,Alzheimer's disease,Good,EFO_0000249
Dependent personality disorder,Personality disorder,Medium,HP_0012075
Dependent personality disorder,personality disorder (disease),Medium,MONDO_0002028
Depression,unipolar depression,Good,EFO_0003761
Dissocial personality disorder,Personality disorder,Medium,HP_0012075
Dissocial personality disorder,personality disorder (disease),Medium,MONDO_0002028
Dissociative [conversion] disorders,dissociation measurement,Good,EFO_0009750
Undefined dementia,Dementia,Medium,HP_0000726
Undefined dementia,dementia (disease),Medium,MONDO_0001627
Undefined dementia (more controls excluded),dementia (disease),Medium,MONDO_0001627
Undefined dementia (more controls excluded),Dementia,Medium,HP_0000726
Eating disorders,eating disorder,Medium,EFO_0005203
Eating disorders,binge eating,Medium,EFO_0005924
Other eating disorders,psoriasis,Medium,EFO_0000676
Other eating disorders,glaucoma,Medium,EFO_0000516
Emotional disorders and disorders of social functioning with onset specific to childhood,Neurodevelopmental disorder,Medium,EFO_0010642
Emotional disorders and disorders of social functioning with onset specific to childhood,autism,Medium,EFO_0003758
Emotionally unstable personality disorder,Personality disorder,Medium,HP_0012075
Emotionally unstable personality disorder,personality disorder (disease),Medium,MONDO_0002028
Generalized anxiety disorder,generalized anxiety disorder,Good,EFO_1001892
Habit and impulse disorders,N/A,Did not map,N/A
Hyperkinetic disorders (excl. ADHD),attention deficit hyperactivity disorder,Good,EFO_0003888
Kela-cod for severe mental illness,"Intellectual disability, severe",Medium,HP_0010864
Kela-cod for severe mental illness,psychiatric disorder,Medium,MONDO_0002025
Kela-code for behavioural disturbances in mental retardation,mental retardation,Medium,EFO_0003847
Kela-code for behavioural disturbances in mental retardation,mental or behavioural disorder,Medium,EFO_0000677
Manic episode,manic or hypomanic episode,Medium,EFO_0007706
Manic episode,manic episode measurement,Medium,EFO_0007705
"Mental disorders, not otherwise specified",pervasive developmental disorder - not otherwise specified,Medium,EFO_0003759
"Mental disorders, not otherwise specified","Chronic Eosinophilic Leukemia, Not Otherwise Specified",Medium,EFO_1000178
Other mental disorders due to brain damage and dysfunction and to physical disease,N/A,Did not map,N/A
Mental and behauvioural disorders associated with the puerperium,N/A,Did not map,N/A
Mental retardation,mental retardation,Good,EFO_0003847
Mild mental retardation,"Intellectual disability, mild",Good,HP_0001256
Mixed specific developmental disorders,developmental disability,Good,EFO_0003852
Mixed and other personality disorders,N/A,Did not map,N/A
Mood [affective] disorders,mood disorder,Medium,EFO_0004247
Mood [affective] disorders,anxiety disorder,Medium,EFO_0006788
Other and unspecidied mood [affective] disorders,mood disorder,Medium,EFO_0004247
Other and unspecidied mood [affective] disorders,anxiety disorder,Medium,EFO_0006788
Specific developmental disorder of motor function,specific developmental disorder,Medium,MONDO_0000592
Specific developmental disorder of motor function,Abnormal central motor function,Medium,HP_0011442
"Neurotic, stress-related and somatoform disorders",N/A,Did not map,N/A
Other neurotic disorders,neurotic disorder,Medium,EFO_0004257
Other neurotic disorders,anxiety disorder,Medium,EFO_0006788
Obsessive-compulsive disorder,obsessive-compulsive disorder,Good,EFO_0004242
Mental and behavioural disorders due to opioids,mental or behavioural disorder,Medium,EFO_0000677
Mental and behavioural disorders due to opioids,mental or behavioural disorder biomarker,Medium,EFO_0006848
"Organic, including symptomatic, mental disorders",Neurodevelopmental disorder,Medium,EFO_0010642
"Organic, including symptomatic, mental disorders",mental or behavioural disorder,Medium,EFO_0000677
Mental and behavioural disorders due to multiple drug use and use of multiple drugs and use of other psycoactive substances,N/A,Did not map,N/A
Other specified and unspecified personality disorders,glaucoma,Medium,EFO_0000516
Other specified and unspecified personality disorders,schizophrenia,Medium,EFO_0000692
Other and unspecified mental retardation,anthrax infection,Medium,EFO_0000778
Other and unspecified mental retardation,schizophrenia,Medium,EFO_0000692
Panic disorder,panic disorder,Good,EFO_0004262
Paranoid personality disorder,paranoid personality disorder,Good,MONDO_0001163
"Personality and behavioural disorders due to brain disease, damage and dysfunction",N/A,Did not map,N/A
Persistent mood disorders,mood disorder,Medium,EFO_0004247
Persistent mood disorders,dysthymic disorder,Medium,EFO_0008623
Disorders of adult personality and behaviour,N/A,Did not map,N/A
Specific personality disorders,personality,Good,EFO_0003947
Pervasive developmental disorders excl. Autism + Asperger,autism spectrum disorder,Good,EFO_0003756
Phobic anxiety disorders,phobic disorder,Medium,EFO_1001908
Phobic anxiety disorders,anxiety disorder,Medium,EFO_0006788
Unspefcified behauvioural syndromes associated with physiological disturbances and physical factors +Phsyiological and behauvioural factors associated with disorders of diseases classified elsewhere,N/A,Did not map,N/A
Psychiatric diseases,psychiatric disorder,Medium,MONDO_0002025
Psychiatric diseases,Alpha-thalassemia-related diseases,Medium,Orphanet_232288
Disorders of psychological developtment,Disorders of vitamin D metabolism,Medium,Orphanet_289098
Disorders of psychological developtment,disorders of pentose/polyol metabolism,Medium,MONDO_0018605
Other and unspecified disorders of psychological development,glaucoma,Medium,EFO_0000516
Other and unspecified disorders of psychological development,schizophrenia,Medium,EFO_0000692
Other and unspecified nonorganic psychotic disorders,glaucoma,Medium,EFO_0000516
Other and unspecified nonorganic psychotic disorders,schizophrenia,Medium,EFO_0000692
Acute and transient psychotic disorders,Acute infantile liver failure due to synthesis defect of mtDNA-encoded proteins,Good,Orphanet_217371
Post-traumatic stress disorder,post-traumatic stress disorder,Good,EFO_0001358
"Schizophrenia, schizotypal and delusional disorders",N/A,Did not map,N/A
Schizoaffective disorder,schizoaffective disorder,Good,EFO_0005411
Schizotypal disorder,schizotypal personality disorder,Medium,MONDO_0001087
Schizotypal disorder,personality disorder (disease),Medium,MONDO_0002028
Schizoid personality disorder,schizoid personality disorder,Good,MONDO_0001161
Specific development disorders of scholastic skills,developmental disability,Good,EFO_0003852
Schizophrenia,schizophrenia,Good,EFO_0000692
Mental and behavioural disorders due to sedatives or hypnotics,mental or behavioural disorder,Medium,EFO_0000677
Mental and behavioural disorders due to sedatives or hypnotics,mental or behavioural disorder biomarker,Medium,EFO_0006848
Sexual dysfunction,sexual dysfunction,Good,EFO_0004714
Sleep disorders,Sleep Disorder,Good,EFO_0008568
Somatoform disorder,somatoform disorder,Good,EFO_0009687
Specific development disorders of speech and language,Delayed speech and language development,Medium,HP_0000750
Specific development disorders of speech and language,Absent speech,Medium,HP_0001344
"Mental and behavioural disorders due to use of other stimulants, including caffeine",mental or behavioural disorder,Medium,EFO_0000677
"Mental and behavioural disorders due to use of other stimulants, including caffeine",mental or behavioural disorder biomarker,Medium,EFO_0006848
"Other reactioin to severe stress, and adjustment disorders",N/A,Did not map,N/A
"Substance use, excluding alcohol",alcohol use disorder measurement,Medium,EFO_0009458
"Substance use, excluding alcohol",alcohol withdrawal delirium,Medium,EFO_1000800
Mental and behavioural disorders due to psychoctive substance use,mental or behavioural disorder,Medium,EFO_0000677
Mental and behavioural disorders due to psychoctive substance use,mental or behavioural disorder biomarker,Medium,EFO_0006848
Tic disorders,tic disorder,Medium,MONDO_0002420
Tic disorders,Tics,Medium,HP_0100033
Mental and behavioural disorders due to tobacco,mental or behavioural disorder,Medium,EFO_0000677
Mental and behavioural disorders due to tobacco,mental or behavioural disorder biomarker,Medium,EFO_0006848
Unspecified mental disorder,cocaine dependence,Good,EFO_0002610
Vascular dementia,vascular dementia,Good,EFO_0004718
Falls/tendenct to fall,fall,Good,EFO_0009631
Focal epilepsy,partial epilepsy,Good,EFO_0004263
"Femoral hernia, unilateral",femoral hernia,Good,EFO_1001791
"Inguinal or femoral hernia, bilateral",femoral hernia,Good,EFO_1001791
"Inguinal of femoral hernia, unilateral",femoral hernia,Good,EFO_1001791
Focal epilepsy,partial epilepsy,Good,EFO_0004263
Focal epilepsy,partial epilepsy,Good,EFO_0004263
Cardiomyopathy (excluding other),cardiomyopathy,Good,EFO_0000318
Cerebrovascular diseases (FINNGEN),cerebrovascular disorder,Good,EFO_0003763
Cardiovascular diseases (excluding rheumatic etc),cardiovascular disease,Good,EFO_0000319
"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified (FINNGEN)",N/A,Did not map,N/A
"Diseases of arteries, arterioles and capillaries (FINNGEN)",N/A,Did not map,N/A
Hypertensive diseases (excluding secondary),hypertension,Medium,EFO_0000537
Hypertensive diseases (excluding secondary),hypertensive retinopathy,Medium,EFO_1000977
Other CVD (FINNGEN),cardiovascular disease,Good,EFO_0000319
Other heart diseases,cardiovascular disease,Medium,EFO_0000319
Other heart diseases,heart disease,Medium,EFO_0003777
Pulmonary heart disease,cor pulmonale,Good,MONDO_0004596
"Alzheimer's disease, wide definition",Alzheimer's disease biomarker measurement,Medium,EFO_0006514
"Alzheimer's disease, wide definition",Alzheimer's disease,Medium,EFO_0000249
"Alzheimer's disease, wide definition (more controls excluded)",Alzheimer's disease,Medium,EFO_0000249
"Alzheimer's disease, wide definition (more controls excluded)",Alzheimer's disease biomarker measurement,Medium,EFO_0006514
Degeneration of the brain due to alcohol,Cerebral degeneration,Medium,HP_0007313
Degeneration of the brain due to alcohol,Cerebral cortical atrophy,Medium,HP_0002120
Motor neuron disease,motor neuron disease,Good,EFO_0003782
Alzheimer disease,Alzheimer's disease,Good,EFO_0000249
Alzheimer disease (more controls excluded),late-onset Alzheimers disease,Good,EFO_1001870
Anoxic brain damage,brain,Medium,UBERON_0000955
Anoxic brain damage,response to wounding,Medium,GO_0009611
Circumscribed brain atrophy,Brain atrophy,Medium,HP_0012444
Circumscribed brain atrophy,Microphthalmia - brain atrophy,Medium,Orphanet_77299
Atypical facial pain,facial pain,Medium,EFO_0009625
Atypical facial pain,pain,Medium,EFO_0003843
Autonomic disorders,communication disorder,Medium,MONDO_0002182
Autonomic disorders,Abnormal autonomic nervous system physiology,Medium,HP_0012332
Bell's palsy,Bell's palsy,Good,EFO_0007167
Brachial plexus disorders,brachial plexus neuropathy,Good,EFO_1000844
Carpal tunnel syndrome,carpal tunnel syndrome,Good,EFO_0004143
