TAGS,LEVEL,OMIT,NAME,LONGNAME,SEX,INCLUDE,PRE_CONDITIONS,CONDITIONS,OUTPAT_ICD,HD_MAINONLY,HD_ICD_10,HD_ICD_9,HD_ICD_8,HD_ICD_10_EXCL,HD_ICD_9_EXCL,HD_ICD_8_EXCL,COD_MAINONLY,COD_ICD_10,COD_ICD_9,COD_ICD_8,COD_ICD_10_EXCL,COD_ICD_9_EXCL,COD_ICD_8_EXCL,OPER_NOM,OPER_HL,OPER_HP1,OPER_HP2,KELA_REIMB,KELA_REIMB_ICD,KELA_ATC_NEEDOTHER,KELA_ATC,KELA_VNRO_NEEDOTHER,KELA_VNRO,CANC_TOPO,CANC_TOPO_EXCL,CANC_MORPH,CANC_MORPH_EXCL,CANC_BEHAV,Special
#DIAB,,,D1_ICD8,ICD-8 DM (Sub-endpoint used for defining DM endpoints),,,EVENT_AGE<20,!PANCREATITIS,,,$!$,$!$,250,,,,,$!$,$!$,250,,,,,,,,,,,,,,,,,,,
#DIAB,,,T2D_WIDE,"Type 2 diabetes, wide definition",,,,!PANCREATITIS,,,E11,250.A,$!$,,,,,E11,250.A,$!$,,,,,,,,,,,,,,,,,,,
#DIAB,,,DM_OTHER_WIDE,"Other diabetes, wide definition",,DIAB_MED,,!GEST_DIABETES,,,E13|14,$!$,$!$,,,,,E13|14,$!$,$!$,,,,,,,,,,,,,,,,,,,
#DIAB,,,KELA_DIAB_INSUL,"Diabetes, insuline treatment (Kela reimbursement)",,,,,,,,,,,,,,,,,,,,,,,,103,,,,,,,,,,,
#DIAB_CM,,,PANCREATITIS,Acute pancreatis (for exclusion),,,,,,,K85,5770,5770,,,,,K85,5770,5770,,,,,,,,,,,,,,,,,,,
#DIAB,,,GEST_DIABETES,Gestational diabetes (for exclusion),,,,,,,O244,6488A,$!$,,,,,O244,6488A,$!$,,,,,,,,,,,,,,,,,,,
#DIAB,,,DIAB_MED,Diabetes medication,,INSULINS|DIAB_MED_OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#DIAB,,,INSULINS,Insulin medication,,INSULIN_INTER_AND_LONG_WITH_FAST|INSULIN_FAST|INSULIN_SHORT_HUMAN|INSULIN_INTER_AND_LONG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#DIAB,,,INSULIN_INTER_AND_LONG_WITH_FAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,A10AD30,,,,,,,,
#DIAB,,,INSULIN_SHORTFAST,"Insulin, fast-acting or short human",,INSULIN_FAST|INSULIN_SHORT_HUMAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#DIAB,,,INSULIN_FAST,"Insulin, fast-acting",,,,,,,,,,,,,,,,,,,,,,,,,,,A10AB0[4-6],,,,,,,,
#DIAB,,,INSULIN_SHORT_HUMAN,"Insuling, fast-acting (human)",,,,,,,,,,,,,,,,,,,,,,,,,,,A10AB01,,,,,,,,
#DIAB,,,INSULIN_INTER_AND_LONG,"Insulin, intermediate and long-acting",,,,,,,,,,,,,,,,,,,,,,,,,,,A10AE01|A10AE0[4-6]|A10AE30,,,,,,,,
#DIAB,,,DIAB_MED_OTHER,Other (not insulin) diabetes medications,,BIGUANIDES|SULFONYLUREAS|SULOFONAMIDES|COMB_ORAL_GLUCLOW|ALPHAGLUCOSIDASEINH|THIAZOLINEDIONES|DPP4INH|GLP1ANA|SGLT2INH|GLUCLOW_OTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#DIAB,,,BIGUANIDES,Biguanides,,,,,,,,,,,,,,,,,,,,,,,,,,,A10BA,,,,,,,,
#DIAB,,,SULFONYLUREAS,Sulfonylureas,,,,,,,,,,,,,,,,,,,,,,,,,,,A10BB,,,,,,,,
#DIAB,,,SULOFONAMIDES,Sulfonamides (heterogenic),,,,,,,,,,,,,,,,,,,,,,,,,,,A10BC,,,,,,,,
#DIAB,,,COMB_ORAL_GLUCLOW,Combinations of oral blood glucose lowering drugs,,,,,,,,,,,,,,,,,,,,,,,,,,,A10BD,,,,,,,,
#DIAB,,,ALPHAGLUCOSIDASEINH,Alpha glusodase inhibitors,,,,,,,,,,,,,,,,,,,,,,,,,,,A10BE,,,,,,,,
#DIAB,,,THIAZOLINEDIONES,Thiazolidinediones,,,,,,,,,,,,,,,,,,,,,,,,,,,A10BF,,,,,,,,
#DIAB,,,DPP4INH,Dipeptidyl peptidase 4 (DPP-4) inhibitors,,,,,,,,,,,,,,,,,,,,,,,,,,,A10BG,,,,,,,,
#DIAB,,,GLP1ANA,Glucagon-like peptide-1 (GLP-1) analogues,,,,,,,,,,,,,,,,,,,,,,,,,,,A10BH,,,,,,,,
#DIAB,,,SGLT2INH,Sodium-glucose co-transporter 2 (SGLT2) inhibitors,,,,,,,,,,,,,,,,,,,,,,,,,,,A10BJ,,,,,,,,
#DIAB,,,GLUCLOW_OTH,"Other blood glucose lowering drugs, excl. Insulins",,,,,,,,,,,,,,,,,,,,,,,,,,,A10BX,,,,,,,,
"#E4,#DIAB_CM",,,DM_COMORB,Diabetes-related co-morbidities/complications,,I9_ISCHHEART|C_STROKE|DM_PERIPHATHERO|DM_NEPHROPATHY|DM_NEPHORAPATHY_OPER|DM_RETINOPATHY|CHARCOT|DM_NEUROPATHY|DM_PERIPH_ANGIOPATHY|DM_SEVERAL_COMPLICATIONS|DM_KETOACIDOSIS|DM_HYPOGLYC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#DIAB_CM,#RHEUMA_CM",,,C_STROKE,STROKE,,I9_SAH|I9_ICH|I9_OTHINTRACRA|I9_STR_EXH|I9_STR_SAH|I9_TIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#I9,#DIAB_CM,#NEURO_CM,#RHEUMA_CM",,,I9_TIA,Transient ischemic attack,,,,,,,G45,435,435,G454,,,,G45,435,435,G454,,,,,,,,,,,,,,,,,,
#DIAB_CM,,,DM_PERIPHATHERO,Peripheral atherosclerosis,,AMPUTATION|PAR,,,,,I702,4402,4402,,,,,I702,4402,4402,,,,,,,,,,,,,,,,,,,
#DIAB_CM,,,AMPUTATION,Amputation,,AMPUTATION_TOE|AMPUTATION_FOOT|AMPUTATION_ANKLEBONES|AMPUTATION_ANKLE|AMPUTATION_THIGH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#DIAB_CM,,,AMPUTATION_TOE,Amputation of toe,,,,,,,,,,,,,,,,,,,,^NHQ40,,,,,,,,,,,,,,,
#DIAB_CM,,,AMPUTATION_FOOT,Amputation of foot,,,,,,,,,,,,,,,,,,,,^NHQ[1-3],,,,,,,,,,,,,,,
#DIAB_CM,,,AMPUTATION_ANKLEBONES,Amputation of ankle bones,,,,,,,,,,,,,,,,,,,,^NGQ20,,,,,,,,,,,,,,,
#DIAB_CM,,,AMPUTATION_ANKLE,Amputation of ankle,,,,,,,,,,,,,,,,,,,,^NGQ10,,,,,,,,,,,,,,,
#DIAB_CM,,,AMPUTATION_THIGH,Amputation of thigh,,,,,,,,,,,,,,,,,,,,^NFQ20,,,,,,,,,,,,,,,
#DIAB_CM,,,PAR,Peripheral arterial reconstruction,,,,,,,,,,,,,,,,,,,,^PEE|^PEF|^PEH|^PEN|^PEP|^PEQ|^PFE|^PFH|^PFQ|^PE1AT|^PE1BT|^PF1AT|^PF1BT,,,,,,,,,,,,,,,
#DIAB,,,DM_NEPHROPATHY,Diabetic nephropathy,,DM_KIDNEYFAIL|DM_DIALYSIS|DM_KIDNEYTRANSPLANT|DM_NEPHROPATHY,,,,,N083,$!$,$!$,,,,,N083,$!$,$!$,,,,,,,,,,,,,,,,,,,
#DIAB,,,DM_NEPHORAPATHY_OPER,Diabetic nephropathy with related operations,,NEPHROPATHY_OPER,,DM_NEPHROPATHY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#DIAB_CM,,,NEPHROPATHY_OPER,Nephropathy related operations,,,,,,,,,,,,,,,,,,,,^JAK10|^KA4|^PBL08|^PBL09|^PBL10|^PBL11|^PBL99|^TJA30|^TJA33|^TJA35|^TK800|^TK820|^KAS10|^KAS20|^KAS40|^KAS41,,,,,,,,,,,,,,,
#DIAB,,,DM_DIALYSIS,"Diabetes, dialysis",,DIALYSIS,,DM_KIDNEYFAIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#DIAB_CM,,,DIALYSIS,Dialysis,,,,,,,,,,,,,,,,,,,,^TK820|^KA4|^TK800,,,,,,,,,,,,,,,
#DIAB,,,DM_KIDNEYFAIL,"Diabetes, kidney failure",,,,,,,E1[0-4]2,2503,25002,,E122,,,E1[0-4]2,2503,25002,,E122,,,,,,,,,,,,,,,,,
#DIAB_CM,,,KIDNEY_TRANSPLANT,Kidney transplantation,,,,,,,Z940,$!$,$!$,,,,,Z940,$!$,$!$,,,,,,,,,,,,,,,,,,,
#DIAB,,,DM_KIDNEYTRANSPLANT,"Kidney transplantation, related to diabetes",,KIDNEY_TRANSPLANT,,DM_KIDNEYFAIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#DIAB_CM,,,CHARCOT,Charcot foot,,,,,,,M146&A521|M146&E106|M146&E116,$!$,$!$,,,,,M146&A521|M146&E106|M146&E116,$!$,$!$,,,,,,,,,,,,,,,,,,,
#DIAB,,,DM_NEUROPATHY,Diabetic neuropathy,,DM_MONONEURO|DM_POLYNEURO|DM_AMYOTROPHY|DM_AUTONOMIC,,,,,E1[0-4]4,2505,25005,,,,,E1[0-4]4,2505,25005,,,,,,,,,,,,,,,,,,,
#DIAB,,,DM_MONONEURO,,,,,,,,G590&E104|G590&G114,$!$,$!$,,,,,G590&E104|G590&G114,$!$,$!$,,,,,,,,,,,,,,,,,,,
#DIAB,,,DM_POLYNEURO,,,,,,,,G632&E104|G632&E114,$!$,$!$,,,,,G632&E104|G632&E114,$!$,$!$,,,,,,,,,,,,,,,,,,,
#DIAB,,,DM_AMYOTROPHY,,,,,,,,G730&E104|G730&E114,$!$,$!$,,,,,G730&E104|G730&E114,$!$,$!$,,,,,,,,,,,,,,,,,,,
#DIAB,,,DM_AUTONOMIC,,,,,,,,G990&E104|G990&E114,$!$,$!$,,,,,G990&E104|G990&E114,$!$,$!$,,,,,,,,,,,,,,,,,,,
#DIAB,,,DM_PERIPH_ANGIOPATHY,Peripheral angiopathy,,,,,,,E1[0-4]5|E105&I792|E115&I792,$!$,$!$,,E125,,,E1[0-4]5|E105&I792|E115&I792,$!$,$!$,,E125,,,,,,,,,,,,,,,,,
#DIAB,,,DM_SEVERAL_COMPLICATIONS,"Diabetes, several complications",,,,,,,E1[0-4][7-8],$!$,$!$,,E12[7-8],,,E1[0-4][7-8],$!$,$!$,,,,,,,,,,,,,,,,,,,
#DIAB,,,DM_KETOACIDOSIS,Diabetic ketoacidosis,,,,,,,E1[0-1]01|E1[0-4]1,2500,$!$,,E121,,,E1[0-1]01|E1[0-4]1,2500,$!$,,E121,,,,,,,,,,,,,,,,,
#DIAB,,,DM_HYPOGLYC,Diabetic hypoglycemia,,,,,,,E1[0-1]00|E160|E162,2510B|2512,$!$,,,,,E1[0-1]00|E160|E162,2510B|2512,$!$,,,,,,,,,,,,,,,,,,,
"#DIAB,#OPHTAL",,,DM_RETINOPATHY,Diabetic retinopathy,,DM_BCKGRND_RETINA|DM_BCKGRND_RETINA_NONPROLIF|DM_RETINA_PROLIF|DM_OPHTALMOPAT_PROGRESS|DM_VITREOUS_BLEEDING|DM_NEOVASCULAR_GLAUCOMA|DM_MACULOPATHY|DM_RETINA_NOS|DM_OPTHALMIC_COMORB|DM_EYE_OPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#DIAB,#OPHTAL",,,DM_BCKGRND_RETINA,Background diabetic retinopathy,,,,,,,H3600,$!$,$!$,,,,,H3600,$!$,$!$,,,,,,,,,,,,,,,,,,,
"#DIAB,#OPHTAL",,,DM_BCKGRND_RETINA_NONPROLIF,Severe non-proliferative background diabetic retinopathy,,,,,,,H3602,$!$,$!$,,,,,H3602,$!$,$!$,,,,,,,,,,,,,,,,,,,
"#DIAB,#OPHTAL",,,DM_RETINA_PROLIF,Proliferative diabetic retinopathy,,DM_RETINA_PROLIF_NOS_ET_OPER,,,,,H3603,3620B,$!$,,,,,H3603,3620B,$!$,,,,CKC10|CKC15|CKC12|CKC50,,,,,,,,,,,,,,,
"#DIAB,#OPHTAL",,,DM_OPHTALMOPAT_PROGRESS,Ophthalmopathia diabetica progressa (??? Uudissuonista aiheutuvat arpikalvot ja niiden aiheuttama vetoirtauma??),,,,DM_RETINA_PROLIF,,,H3604,$!$,$!$,,,,,H3604,$!$,$!$,,,,,,,,,,,,,,,,,,,Another option: DM_NEOVAS_SCAR_DETACH
"#DIAB,#OPHTAL",,,DM_VITREOUS_BLEEDING,Vitreous bleeding (caused by prolif. dmrp when together with H36.03*),,,,,,,H431,$!$,$!$,,,,,H431,$!$,$!$,,,,,,,,,,,,,,,,,,,
"#DIAB,#OPHTAL",,,DM_NEOVASCULAR_GLAUCOMA,Neovascular glaucoma,,,,,,,H405,$!$,$!$,,,,,H405,$!$,$!$,,,,,,,,,,,,,,,,,,,
"#DIAB,#OPHTAL",,,DM_MACULOPATHY,Diabetic maculopathy,,,,,,,H3601,$!$,$!$,,,,,H3601,$!$,$!$,,,,,,,,,,,,,,,,,,,
"#DIAB,#OPHTAL",,,DM_RETINA_NOS,Unspecified diabetic retinopathy,,,,DM_EYE_OPER,,,H3609|E1.7|E1.3,3620A|2504,25002,E123,,,,H3609|E1.7|E1.3,3620A,25002,E123,,,,,,,,,,,,,,,,,,
"#DIAB,#OPHTAL",,1,DM_RETINA_PROLIF_NOS_ET_OPER,Proliferative diabetic retinopathy (Unspecified diabetic retinopathy + operation),,DM_RETINA_NOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#DIAB,#OPHTAL",,,DM_OPTHALMIC_COMORB,"Diabetes, opthalmic co-morbidities",,DM_RET_ART_OCCLU_MAIN|DM_RET_ART_OCCLU_BRANCH|DM_RET_ART_OCCLU_TRANS|DM_RET_VEIN_OCCLU|DM_AION,,DIABETES_FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#DIAB,#OPHTAL",,,DM_RET_ART_OCCLU_MAIN,Retinal artery occlusion (main artery),,,,DIABETES_FG,,,H341,$!$,$!$,,,,,H341,$!$,$!$,,,,,,,,,,,,,,,,,,,
"#DIAB,#OPHTAL",,,DM_RET_ART_OCCLU_BRANCH,Retinal artery occlusion (branch),,,,DIABETES_FG,,,H342,$!$,$!$,,,,,H342,$!$,$!$,,,,,,,,,,,,,,,,,,,
"#DIAB,#OPHTAL",,,DM_RET_ART_OCCLU_TRANS,Transient retinal artery occlusion,,,,DIABETES_FG,,,H340,$!$,$!$,,,,,H340,$!$,$!$,,,,,,,,,,,,,,,,,,,
"#DIAB,#OPHTAL",,,DM_RET_VEIN_OCCLU,Retinal vein occlusion (central or branch),,,,DIABETES_FG,,,H348,$!$,$!$,,,,,H348,$!$,$!$,,,,,,,,,,,,,,,,,,,
"#DIAB,#OPHTAL",,,DM_AION,AION (anterior ischemic optic neuropathy),,,,,,,H470,3774,37799,,,,,H470,3774,37799,,,,,,,,,,,,,,,,,,,
"#DIAB,#OPHTAL",,,DM_EYE_OPER,"Operations, diabetic retinopathy",,DM_EYE_OEPR_RETINAL_PHOTOCOAGULATION|DM_EYE_OPER_VEGF_INJECT_VITR|DM_EYE_OPER_FOR_NON_DIAB_EXCLUSION|DM_EYE_OPER_RETINAL_CRYO|DM_EYE_OPER_INJECT_AIRGAS_VITR|DM_EYE_OPER_INJECT_GEL_VITR|DM_EYE_OPER_REMOVAL_VITR|DM_EYE_OPER_REMOVAL_VITR_VIAPARSPLIC|DM_EYE_OPER_REMOVAL_VITR_INJECT_DRUG|DM_EYE_OPER_REMOVAL_VITR_INJECT_AIRGAS|DM_EYE_OPER_VITR_RETINA_COMB|DM_EYE_OPER_COMB_LENS_VITR|DM_EYE_OPER_OTHER_INTRAOC_VITR_RETINAL|DM_EYE_OPER_LOCAL_IDENT_BLOM_RETINAL|DM_EYE_OPER_CERCLAGE_RETINALDETACH|DM_EYE_OPER_CERGLAGE_BLOMB|DM_EYE_OPER_REMOVAL_CERGLAGE|DM_EYE_OPER_NOT_INTRAOCULAR,,DIABETES_FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#DIAB,#OPHTAL",,,DM_EYE_OEPR_RETINAL_PHOTOCOAGULATION,Retinal photocoagulation,,,,(!DM_EYE_OPER_FOR_NON_DIAB_EXCLUSION)&DIABETES_FG,,,,,,,,,,,,,,,,CKC12|CKC12ZXA10|CKC50,,,,,,,,,,,,,,,
"#DIAB,#OPHTAL",,,DM_EYE_OPER_VEGF_INJECT_VITR,Injection of anti-VEGF-antibody or corticosteroid or any drug into vitreous body,,,,,,,,,,,,,,,,,,,,CKD05,,,,,,,,,,,,,,,
"#DIAB,#OPHTAL",,1,DM_EYE_OPER_FOR_NON_DIAB_EXCLUSION,Exclude non-diabetic causes for injection of anti-VEGF-antibody or corticosteroid or any drug into vitreous body,,,,DIABETES_FG,,,H3531|H348,$!$,$!$,,,,,H3531|H348,$!$,$!$,,,,,,,,,,,,,,,,,,,
"#DIAB,#OPHTAL",,,DM_EYE_OPER_RETINAL_CRYO,Retinal cryocoagulation (attached retina),,,,DIABETES_FG,,,,,,,,,,,,,,,,CKC20,,,,,,,,,,,,,,,
"#DIAB,#OPHTAL",,,DM_EYE_OPER_INJECT_AIRGAS_VITR,Injection of air or gas into the vitreous cavity,,,,DIABETES_FG,,,,,,,,,,,,,,,,CKD10,,,,,,,,,,,,,,,
"#DIAB,#OPHTAL",,,DM_EYE_OPER_INJECT_GEL_VITR,Injection of e.g. viscoelastic gel into the vitreous cavity,,,,DIABETES_FG,,,,,,,,,,,,,,,,CKD15,,,,,,,,,,,,,,,
"#DIAB,#OPHTAL",,,DM_EYE_OPER_REMOVAL_VITR,Removal of vitreous substitute,,,,DIABETES_FG,,,,,,,,,,,,,,,,CKD20,,,,,,,,,,,,,,,
"#DIAB,#OPHTAL",,,DM_EYE_OPER_REMOVAL_VITR_VIAPARSPLIC,Removal of vitreous/Extensive procedure in removing vitreous via pars plana/pars plicata,,,,DIABETES_FG,,,,,,,,,,,,,,,,CKD65|CKD91,,,,,,,,,,,,,,,
"#DIAB,#OPHTAL",,,DM_EYE_OPER_REMOVAL_VITR_INJECT_DRUG,Removal of vitreous via pars plana/pars plicata and injection of drug into the vitreous cavity,,,,DIABETES_FG,,,,,,,,,,,,,,,,CKD65CKD05,,,,,,,,,,,,,,,
"#DIAB,#OPHTAL",,,DM_EYE_OPER_REMOVAL_VITR_INJECT_AIRGAS,Removal of vitreous via pars plana/pars plicata and injection of air or gas into the vitreous cavity,,,,DIABETES_FG,,,,,,,,,,,,,,,,CKD65CKD10,,,,,,,,,,,,,,,
"#DIAB,#OPHTAL",,,DM_EYE_OPER_VITR_RETINA_COMB,Combined vitreous and retina operation,,,,DIABETES_FG,,,,,,,,,,,,,,,,CKD92|CKD93,,,,,,,,,,,,,,,
"#DIAB,#OPHTAL",,,DM_EYE_OPER_COMB_LENS_VITR,Combined lens and vitreous operation,,,,DIABETES_FG,,,,,,,,,,,,,,,,CKD94|CKD95,,,,,,,,,,,,,,,
"#DIAB,#OPHTAL",,,DM_EYE_OPER_OTHER_INTRAOC_VITR_RETINAL,Other intraocular vitreous and retinal operation,,,,DIABETES_FG,,,,,,,,,,,,,,,,CKD99,,,,,,,,,,,,,,,
"#DIAB,#OPHTAL",,,DM_EYE_OPER_LOCAL_IDENT_BLOM_RETINAL,Local indentation by a plomb due to retinal detachment,,,,DIABETES_FG,,,,,,,,,,,,,,,,CKC60|CKC60CKC20|CKC60CKC30,,,,,,,,,,,,,,,
"#DIAB,#OPHTAL",,,DM_EYE_OPER_CERCLAGE_RETINALDETACH,"Cerclage (due to retinal detachment, surrounding the bulbus 360 degrees)",,,,DIABETES_FG,,,,,,,,,,,,,,,,CKC70,,,,,,,,,,,,,,,
"#DIAB,#OPHTAL",,,DM_EYE_OPER_CERGLAGE_BLOMB,Cerclage and plomb,,,,DIABETES_FG,,,,,,,,,,,,,,,,CKC60CKC70,,,,,,,,,,,,,,,
"#DIAB,#OPHTAL",,,DM_EYE_OPER_REMOVAL_CERGLAGE,Removal of cerclage,,,,DIABETES_FG,,,,,,,,,,,,,,,,CKC75,,,,,,,,,,,,,,,
"#DIAB,#OPHTAL",,,DM_EYE_OPER_NOT_INTRAOCULAR,Other surgical procedure outside the eye/not intraocular,,,,DIABETES_FG,,,,,,,,,,,,,,,,CKC99,,,,,,,,,,,,,,,
#H8,1,,H8_EAR,Diseases of the ear and mastoid process,,H8_EXTERNAL|H8_MIDDLEMASTOID|H8_INNER|H8_OTHEREAR,,,,,H[6-9],,,,,,,H[6-9],,,,,,,,,,,,,,,,,,,,,
#H8,2,,H8_EXTERNAL,Diseases of external ear,,H8_EXTOTITIS|H8_PERCHRONDR|H8_PINNADIS|H8_CERUMEN|H8_STENOEXTCAN|H8_EXTDISNAS|H8_EXTDISINOTH,,,,,H6[0-2],,,,,,,H6[0-2],,,,,,,,,,,,,,,,,,,,,
#H8,3,,H8_EXTOTITIS,Otitis externa,,H8_EXT_ABSC|H8_EXT_CELLUL|H8_EXT_MALIGN|H8_EXT_INFNAS|H8_EXT_CHOL|H8_EXT_NONINF|H8_EXT_OTH|H8_EXT_NAS,,,,,H60,,,,,,,H60,,,,,,,,,,,,,,,,,,,,,
#H8,4,,H8_EXT_ABSC,Abscess of external ear,,,,,,,H600,$!$,3800[0-1],,,,,H600,$!$,3800[0-1],,,,,,,,,,,,,,,,,,,
#H8,4,,H8_EXT_CELLUL,Cellulitis of external ear,,,,,,,H601,$!$,$!$,,,,,H601,$!$,$!$,,,,,,,,,,,,,,,,,,,
#H8,4,,H8_EXT_MALIGN,Malignant otitis externa,,,,,,,H602,3801C,$!$,,,,,H602,3801C,$!$,,,,,,,,,,,,,,,,,,,
#H8,4,,H8_EXT_INFNAS,Other infective otitis externa,,,,,,,H603,$!$,$!$,,,,,H603,$!$,$!$,,,,,,,,,,,,,,,,,,,
#H8,4,,H8_EXT_CHOL,Cholesteatoma of external ear,,,,,,,H604,$!$,$!$,,,,,H604,$!$,$!$,,,,,,,,,,,,,,,,,,,
#H8,4,,H8_EXT_NONINF,"Acute otitis externa, noninfective",,,,,,,H605,$!$,$!$,,,,,H605,$!$,$!$,,,,,,,,,,,,,,,,,,,
#H8,4,,H8_EXT_OTH,Other otitis externa (chronic),,,,,,,H608,3801,$!$,,3801A|3801B|3801C,,,H608,3801,$!$,,3801A|3801B|3801C,,,,,,,,,,,,,,,,,
#H8,4,,H8_EXT_NAS,"Otitis externa, unspecified",,,,,,,H609,3801A|3801B,3800[2-9],,,,,H609,3801A|3801B,3800[2-9],,,,,,,,,,,,,,,,,,,
#H8,3,,H8_PERCHRONDR,Perichondritis of external ear,,,,,,,H610,3800,38798,,,,,H610,3800,38798,,,,,,,,,,,,,,,,,,,
#H8,3,,H8_PINNADIS,Noninfective disorders of pinna,,,,,,,H611,3803,$!$,,,,,H611,3803,$!$,,,,,,,,,,,,,,,,,,,
#H8,3,,H8_CERUMEN,Impacted cerumen,,,,,,,H612,3804,38710,,,,,H612,3804,38710,,,,,,,,,,,,,,,,,,,
#H8,3,,H8_STENOEXTCAN,Acquired stenosis of external ear canal,,,,,,,H613,3805,$!$,,,,,H613,3805,$!$,,,,,,,,,,,,,,,,,,,
#H8,3,,H8_EXTDISNAS,Other specified disorders of external ear,,,,,,,H61[8-9],380[8-9],$!$,,,,,H61[8-9],380[8-9],$!$,,,,,,,,,,,,,,,,,,,
#H8,3,,H8_EXTDISINOTH,"Disorder of external ear, unspecified",,,,,,,H62,$!$,$!$,,,,,H62,$!$,$!$,,,,,,,,,,,,,,,,,,,
#H8,2,,H8_MIDDLEMASTOID,Diseases of middle ear and mastoid,,H8_NONSUPPNAS|H8_MED_SUPP|H8_OTIMEDINOTH|H8_EUSTSALP|H8_EUSTNAS|H8_MASTACU|H8_MASTCHRON|H8_PETROS|H8_MASTNAS|H8_CHOLEASTOMA|H8_PERFORATION|H8_MYRINGACU|H8_MYRINGCHRON|H8_MYRINGNAS|H8_TYMPSCLE|H8_MIDDLEADDH|H8_DISCON|H8_OSSICABN|H8_POLYPMIDD|H8_MIDDMASTNAS|H8_MIDDMASTINOTH,,,,,H6[5-9]|H7[0-5],,,,,,,H6[5-9]|H7[0-5],,,,,,,,,,,,,,,,,,,,,
#H8,3,,H8_MED_SUPP,Suppurative and unspecified otitis media,,H8_SUP_ACUTE|H8_CHRON_SUPOTITIS|H8_SUP_OTINAS|H8_OTIMEDNAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#H8,4,,H8_SUP_ACUTE,Acute suppurative otitis media,,,,,,,H660,3820,3810,,,,,H660,3820,3810,,,,,,,,,,,,,,,,,,,
#H8,4,,H8_CHRON_SUPOTITIS,Chronic suppurative otitis media,,,,,,,H66[1-3],3821,$!$,,,,,H66[1-3],3821,$!$,,,,,,,,,,,,,,,,,,,
#H8,4,,H8_SUP_OTINAS,"Suppurative otitis media, unspecified",,,,,,,H664,3824|3829,$!$,,,,,H664,3824|3829,$!$,,,,,,,,,,,,,,,,,,,
#H8,4,,H8_OTIMEDNAS,"Otitis media, unspecified",,,,,,,H669,$!$,3819,,,,,H669,$!$,3819,,,,,,,,,,,,,,,,,,,
#H8,3,,H8_OTIMEDINOTH,Otitis media in diseases classified elsewhere,,,,,,,H67,$!$,$!$,,,,,H67,$!$,$!$,,,,,,,,,,,,,,,,,,,
#H8,3,,H8_EUSTSALP,Eustachian salpingitis and obstruction,,,,,,,H68[0-1],3816,38408[0-2],,,,,H68[0-1],3816,38408[0-2],,,,,,,,,,,,,,,,,,,
#H8,3,,H8_EUSTNAS,Other disorders of Eustachian tube,,,,,,,H69,381[7-9],$!$,,,,,H69,381[7-9],$!$,,,,,,,,,,,,,,,,,,,
#H8,3,,H8_MASTACU,Acute mastoiditis,,,,,,,H700,3830,3820|3830,,,,,H700,3830,3820|73830,,,,,,,,,,,,,,,,,,,
#H8,3,,H8_MASTCHRON,Chronic mastoiditis,,,,,,,H701,3831,3821|3831,,,,,H701,3831,3821|3831,,,,,,,,,,,,,,,,,,,
#H8,3,,H8_PETROS,Petrositis,,,,,,,H702,$!$,$!$,,,,,H702,$!$,$!$,,,,,,,,,,,,,,,,,,,
#H8,3,,H8_MASTNAS,Other/unspecified mastoiditis and related conditions,,,,,,,H70[8-9],3839,3829|3839,,,,,H70[8-9],3839,3829|3839,,,,,,,,,,,,,,,,,,,
#H8,3,,H8_CHOLEASTOMA,Cholesteatoma of middle ear,,,,,,,H71,3853,38700,,,,,H71,3853,38700,,,,,,,,,,,,,,,,,,,
#H8,3,,H8_PERFORATION,Perforation of tympanic membrane,,,,,,,H72,3842,$!$,,,,,H72,3842,$!$,,,,,,,,,,,,,,,,,,,
#H8,3,,H8_MYRINGACU,Acute myringitis,,,,,,,H730,3840,$!$,,,,,H730,3840,$!$,,,,,,,,,,,,,,,,,,,
#H8,3,,H8_MYRINGCHRON,Chronic myringitis,,,,,,,H731,3841,$!$,,,,,H731,3841,$!$,,,,,,,,,,,,,,,,,,,
#H8,3,,H8_MYRINGNAS,Other specified/unspecified disorders of tympanic membrane,,,,,,,H73[8-9],384[8-9],$!$,,,,,H73[8-9],384[8-9],$!$,,,,,,,,,,,,,,,,,,,
#H8,3,,H8_TYMPSCLE,Tympanosclerosis,,,,,,,H740,3850,$!$,,,,,H740,3850,$!$,,,,,,,,,,,,,,,,,,,
