TAGS,LEVEL,OMIT,NAME,LONGNAME,SEX,INCLUDE,PRE_CONDITIONS,CONDITIONS,OUTPAT_ICD,HD_MAINONLY,HD_ICD_10_ATC,HD_ICD_10,HD_ICD_9,HD_ICD_8,HD_ICD_10_EXCL,HD_ICD_9_EXCL,HD_ICD_8_EXCL,COD_MAINONLY,COD_ICD_10,COD_ICD_9,COD_ICD_8,COD_ICD_10_EXCL,COD_ICD_9_EXCL,COD_ICD_8_EXCL,OPER_NOM,OPER_HL,OPER_HP1,OPER_HP2,KELA_REIMB,KELA_REIMB_ICD,KELA_ATC_NEEDOTHER,KELA_ATC,KELA_VNRO_NEEDOTHER,KELA_VNRO,CANC_TOPO,CANC_TOPO_EXCL,CANC_MORPH,CANC_MORPH_EXCL,CANC_BEHAV,Special,version,PARENT,Latin
#E4,3,,E4_CYSTFIBRO,Cystic fibrosis,,E4_CYSFIBRO_PUL|E4_CYSTFIBRO_INT|E4_CYSTFIBRO_NAS,,,,,,E84,,,,,,,E84,,,,,,,,,,,,,,,,,,,,,,DF2,E70-E90,Fibrosis cystica
#E4,4,,E4_CYSFIBRO_PUL,Cystic fibrosis with pulmonary manifestations,,,,,,,,E840,$!$,$!$,,,,,E840,$!$,$!$,,,,,,,,,,,,,,,,,,,,DF2,E84,Fibrosis cystica cum manifestationibus pulmonalibus
#E4,4,,E4_CYSTFIBRO_INT,Cystic fibrosis with intestinal manifestations,,,,,,,,E841,$!$,$!$,,,,,E841,$!$,$!$,,,,,,,,ANY,E84,,,,,,,,,,,DF2,E84,Fibrosis cystica cum manifestationibus intestinalibus
#E4,4,,E4_CYSTFIBRO_NAS,"Cystic fibrosis, other manifestations/unspecified",,,,,,,,E84[8-9],2770,2730,,,,,E84[8-9],2770,2730,,,,,,,,,,,,,,,,,,,,DF2,,
"#E4,#RHEUMA_CM",3,,E4_AMYLOIDOSIS,Amyloidosis,,E4_AMYL_NONNEURO|E4_AMYL_NEUROHER|E4_AMYL_HEREDOFAM|E4_AMYL_SCNDSYST|E4_AMYL_ORGAN|E4_AMYLNAS,,,,,,E85,,,,,,,E85,,,,,,,,,,,,,,,,,,,,,,DF2,E70-E90,Amyloidosis
"#E4,#RHEUMA",4,,E4_AMYL_NONNEURO,Non-neuropathic heredofamilial amyloidosis,,,,,,,,E850,$!$,$!$,,,,,E850,$!$,$!$,,,,,,,,,,,,,,,,,,,,DF2,E85,Amyloidosis (heredo)familialis non neuropathica
"#E4,#RHEUMA",4,,E4_AMYL_NEUROHER,Neuropathic heredofamilial amyloidosis,,,,,,,,E851,$!$,$!$,,,,,E851,$!$,$!$,,,,,,,,,,,,,,,,,,,,DF2,E85,Amyloidosis (heredo)familialis neuropathica
"#E4,#RHEUMA",4,,E4_AMYL_HEREDOFAM,"Heredofamilial amyloidosis, unspecified",,,,,,,,E852,$!$,$!$,,,,,E852,$!$,$!$,,,,,,,,,,,,,,,,,,,,DF2,E85,Amyloidosis (heredo)familialis non specificata
"#E4,#RHEUMA",4,,E4_AMYL_SCNDSYST,Secondary systemic amyloidosis,,,,,,,,E853,$!$,$!$,,,,,E853,$!$,$!$,,,,,,,,,,,,,,,,,,,,DF2,E85,Amyloidosis systemica secundaria
"#E4,#RHEUMA",4,,E4_AMYL_ORGAN,Organ-limited amyloidosis,,,,,,,,E854,$!$,$!$,,,,,E854,$!$,$!$,,,,,,,,,,,,,,,,,,,,DF2,E85,Amyloidosis in uno organo
"#E4,#NEURO,#RHEUMA",4,,E4_AMYLNAS,"Amyloidosis, other/unspecified",,,,,,,,E85[8-9],2773,27699,,,,,E85[8-9],2773,27699,,,,,,,,,,,,,,,,,,,,DF2,,
#E4,4,,E4_VOLUME,Volume depletion,,,,,,,,E86,2765,7880,,,,,E86,2765,7880,,,,,,,,,,,,,,,,,,,,DF2,E70-E90,Depletio voluminis liquoris
#E4,3,,E4_FLUIDELECTRO,"Other disorders of fluid, electrolyte and acid-base balance",,E4_HYPEROSMHNAT|E4_HYPOOSMNAT|E4_ACIDOSIS|E4_ALKALOSIS|E4_MIXACIDBASE|E4_HYPERKALAEMIA|E4_HYPOKALAEMIA|E4_FLUIDOVER|E4_FLUIDELECTRONAS,,,,,,E87,,,,,,,E87,,,,,,,,,,,,,,,,,,,,,,DF2,E70-E90,"Aliae perturbationes aequilibrii humoralis, electrolytici et acido-alkalici"
#E4,4,,E4_HYPEROSMHNAT,Hyperosmolality and hypernatraemia,,,,,,,,E870,2760,$!$,,,,,E870,2760,$!$,,,,,,,,,,,,,,,,,,,,DF2,E87,Hyperosmolalitas
#E4,4,,E4_HYPOOSMNAT,Hypo-osmolality and hyponatraemia,,,,,,,,E871,2761,$!$,,,,,E871,2761,$!$,,,,,,,,,,,,,,,,,,,,DF2,E87,Hyposmolalitas
#E4,4,,E4_ACIDOSIS,Acidosis,,,,,,,,E872,2762,78869,,,,,E872,2762,78869,,,,,,,,,,,,,,,,,,,,DF2,E87,Acidosis
#E4,4,,E4_ALKALOSIS,Alkalosis,,,,,,,,E873,2763,78870,,,,,E873,2763,78870,,,,,,,,,,,,,,,,,,,,DF2,E87,Alkalosis
#E4,4,,E4_MIXACIDBASE,Mixed disorder of acid-base balance,,,,,,,,E874,2764,$!$,,,,,E874,2764,$!$,,,,,,,,,,,,,,,,,,,,DF2,E87,Perturbationes aequilibrii acido-alkalici mixtae
#E4,4,,E4_HYPERKALAEMIA,Hyperkalaemia,,,,,,,,E875,2767,$!$,,,,,E875,2767,$!$,,,,,,,,,,,,,,,,,,,,DF2,E87,Hyperkalaemia
#E4,4,,E4_HYPOKALAEMIA,Hypokalaemia,,,,,,,,E876,2768,78891,,,,,E876,2768,78891,,,,,,,,,,,,,,,,,,,,DF2,E87,Hypokalaemia
#E4,4,,E4_FLUIDOVER,Fluid overload,,,,,,,,E877,$!$,$!$,,,,,E877,$!$,$!$,,,,,,,,,,,,,,,,,,,,DF2,E87,Incrementum voluminis liquoris
#E4,4,,E4_FLUIDELECTRONAS,"Other disorders of electrolyte and fluid balance, not elsewhere classified",,,,,,,,E878,276[8-9],$!$,,,,,E878,276[8-9],$!$,,,,,,,,,,,,,,,,,,,,DF2,E87,Aliae perturbationes aequilibrii electrolytici et humoralis
#E4,3,,E4_METABO,Other metabolic disorders,,E4_PLASMAPROT|E4_LIPODYST|E4_LIPOMATOSIS|E4_TUMOURLYSISSDR|E4_METABONAS|E4_ENDOMETPOSTOP|E4_METABINOTH,,,,,,E88,,,,,,,E88,,,,,,,,,,,,,,,,,,,,,,DF2,E70-E90,Aliae morbositates metabolicae
#E4,4,,E4_PLASMAPROT,"Disorders of plasma-protein metabolism, not elsewhere classified",,,,,,,,E880,273[8-9],$!$,,,,,E880,273[8-9],$!$,,,,,,,,,,,,,,,,,,,,DF2,E88,Perturbationes metabolismi proteinorum plasmaticorum non alibi classificatae
#E4,4,,E4_LIPODYST,"Lipodystrophy, not elsewhere classified",,,,,,,,E881,2726,$!$,,,,,E881,2726,$!$,,,,,,,,,,,,,,,,,,,,DF2,E88,Lipodystrophia non alibi classificata
#E4,4,,E4_LIPOMATOSIS,"Lipomatosis, not elsewhere classified",,,,,,,,E882,$!$,$!$,,,,,E882,$!$,$!$,,,,,,,,,,,,,,,,,,,,DF2,E88,Lipomatosis non alibi classificata
#E4,4,,E4_TUMOURLYSISSDR,Tumour lysis syndrome,,,,,,,,E883,$!$,$!$,,,,,E883,$!$,$!$,,,,,,,,,,,,,,,,,,,,DF2,,
#E4,4,,E4_METABONAS,"Metabolic disorder, other/unspecified",,,,,,,,E88[8-9],277[8-9],$!$,,,,,E88[8-9],277[8-9],$!$,,,,,,,,,,,,,,,,,,,,DF2,,
#E4,4,,E4_ENDOMETPOSTOP,"Postprocedural endocrine and metabolic disorders, not elsewhere classified",,,,,,,,E89,2440|2513|2562|2572|24409,$!$,,,,,E89,2440|2513|2562|2572|24409,$!$,,,,,,,,ANY,E894|E895,,,,,,,,,,,DF2,E70-E90,Perturbationes endocrinae et metabolicae post interventiones non alibi classificatae
#E4,4,,E4_METABINOTH,Nutritional and metabolic disorders in diseases classified elsewhere,,,,,,,,E90,$!$,$!$,,,,,E90,$!$,$!$,,,,,,,,,,,,,,,,,,,,DF2,,
"#E4,#NEURO_CM",,,VIT_DEF,Vitamin deficiency,,E4_VIT_A_DEF|E4_THIA_DEF|E4_NIAC_DEF|E4_VIT_B_DEF|E4_VIT_C_DEF|E4_VIT_D_DEF|E4_VIT_E_DEF|E4_VIT_K_DEF|E4_VIT_NAS_DEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DF2,,
#E4,,,HYPOTHY_REIMB,"Hypothyroidism, drug reimbursement",,,,,,,,,,,,,,,,,,,,,,,,,104,,,,,,,,,,,,DF3,,
#E4,,,HYPOTHY_PURCHASE,Hypothyroidism and >3 levothyroxin purchases,,HYPOTHY_LEVOTHY,,HYPOTHYROIDISM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DF3,,
"#E4,#ADVERSE",C,,SUBAC_THYROTOXICO,"Subacute thyrotoxicosis, drug-induced",,,,,,,ANY,E0580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DF5,,
"#E4,#ADVERSE",C,,OVERPROD_THYROID__HORMONE,"Overproduction of thyroid-stimulating hormone, drug-induced",,,,,,,ANY,E0581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DF5,,
"#E4,#ADVERSE",C,,OTHER_THYROTOXICO,"Other thyrotoxicosis, drug-induced",,,,,,,ANY,E0589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DF5,,
"#E4,#ADVERSE",C,,E4_HYPOCOMA_ADVERSE,"Nondiabetic hypoglycaemic coma, drug-induced",,,,,,,ANY,E15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DF5,E15-E16,Coma hypoglychaemicum non diabeticum
"#E4,#ADVERSE",C,,HYPERIN_NOS,"Hyperinsulinism NOS, drug-induced",,,,,,,ANY,E1611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DF5,,
"#E4,#ADVERSE",C,,E4_HYPERPRO_ADVERSE,"Hyperprolactinaemia, drug-induced",,,,,,,ANY,E221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DF5,E22,Hyperprolactinaemia
"#E4,#ADVERSE",C,,DRUGADVERS_HYPOPI,Drug-induced hypopituitarism,,,,,,,,E231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DF5,,
"#E4,#ADVERSE",C,,DRUGADVERS_CUSHI_SYNDR,Drug-induced Cushing's syndrome,,,,,,,,E242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DF5,,
"#E4,#ADVERSE",C,,OTHER_ADRENOG_DISORD,"Other adrenogenital disorders, drug-induced",,,,,,,ANY,E258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DF5,,
"#E4,#ADVERSE",C,,DRUGADVERS_ADRENOCORTICAL_INSUFFICIENCY,Drug-induced adrenocortical insufficiency,,,,,,,,E273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DF5,,
"#E4,#ADVERSE",C,,E4_ODESTRO_ADVERSE,"Ovarian dysfunction: estrogen excess, drug-induced",2,,,,,,ANY,E280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DF5,E28,Hypersecretio oestrogenorum
"#E4,#ADVERSE",C,,E4_ODANDRO_ADVERSE,"Ovarian dysfunction: androgen excess, drug-induced",2,,,,,,ANY,E281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DF5,E28,Hypersecretio androgenorum
"#E4,#ADVERSE",C,,E4_TESTICHYPO_ADVERSE,"Testicular hypofunction, drug-induced",1,,,,,,ANY,E291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DF5,E29,Hypofunctio testium
"#E4,#NEURO_CM,#ADVERSE",C,,E4_COPP_DEF_ADVERSE,"Copper deficiency, drug-induced",,,,,,,ANY,E610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DF5,E61,Deficientia cupri
"#E4,#NEURO_CM,#ADVERSE",C,,E4_FE_DEF_ADVERSE,"Iron deficiency, drug-induced",,,,,,,ANY,E611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DF5,E61,Sideropenia
"#E4,#NEURO_CM,#ADVERSE",C,,E4_MG_DEF_ADVERSE,"Magnesium deficiency, drug-induced",,,,,,,ANY,E612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DF5,E61,Deficientia magnesii
"#E4,#NEURO_CM,#ADVERSE",C,,E4_MANG_DEF_ADVERSE,"Manganese deficiency, drug-induced",,,,,,,ANY,E613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DF5,E61,Deficientia mangani
"#E4,#NEURO_CM,#ADVERSE",C,,E4_CHRO_DEF_ADVERSE,"Chromium deficiency, drug-induced",,,,,,,ANY,E614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DF5,E61,Deficientia chromii
"#E4,#NEURO_CM,#ADVERSE",C,,E4_MOLYB_DEF_ADVERSE,"Molybdenum deficiency, drug-induced",,,,,,,ANY,E615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DF5,E61,Deficientia molybdeni
"#E4,#NEURO_CM,#ADVERSE",C,,E4_VANA_DEF_ADVERSE,"Vanadium deficiency, drug-induced",,,,,,,ANY,E616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DF5,E61,Deficientia vanadii
"#E4,#NEURO_CM,#ADVERSE",C,,E4_MULTI_DEF_ADVERSE,"Deficiency of multiple nutrient elements, drug-induced",,,,,,,ANY,E617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DF5,E61,Deficientia elementorum multorum nutrimenti
"#E4,#ADVERSE",C,,DEFICIENCY_OTHER_SPECIFE_NUTRIE_ELEME,"Deficiency of other specified nutrient elements, drug-induced",,,,,,,ANY,E618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DF5,,
"#E4,#ADVERSE",C,,DEFICIENCY_NUTRIE_ELEME_UNSPE,"Deficiency of nutrient element, unspecified, drug-induced",,,,,,,ANY,E619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DF5,,
"#E4,#ADVERSE",C,,E4_PORPHYNAS_ADVERSE,"Other porphyria, drug-induced",,,,,,,ANY,E802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DF5,E80,Alia porphyria
"#E4,#ADVERSE",C,,E4_PLASMAPROT_ADVERSE,"Disorders of plasma-protein metabolism, not elsewhere classified, drug-induced",,,,,,,ANY,E880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DF5,E88,Perturbationes metabolismi proteinorum plasmaticorum non alibi classificatae
"#E4,#ADVERSE",C,,E4_LIPODYST_ADVERSE,"Lipodystrophy, not elsewhere classified, drug-induced",,,,,,,ANY,E881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DF5,E88,Lipodystrophia non alibi classificata
"#E4,#ADVERSE",C,,E4_LIPOMATOSIS_ADVERSE,"Lipomatosis, not elsewhere classified, drug-induced",,,,,,,ANY,E882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DF5,E88,Lipomatosis non alibi classificata
"#E4,#ADVERSE",C,,OTHER_SPECIFE_METABOLIC_DISORD,"Other specified metabolic disorders, drug-induced",,,,,,,ANY,E888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DF5,,
"#E4,#ADVERSE",C,,METABOLIC_DISORD_UNSPE,"Metabolic disorder, unspecified, drug-induced",,,,,,,ANY,E889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DF5,,
"#E4,#ADVERSE",C,,HYPOPI_MEDICAL_THERAPY,Hypopituitarism after medical therapy,,,,,,,,E8932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DF5,,
"#F5,#ASTHMA_CM,#COPD,#ILD_CM,#NEURO",3,,F5_VASCDEM,Vascular dementia,,,,,,,,F01,4378,$!$,,,,,F01,4378,$!$,,,,,,,,,,,,,,,,,,,,DF2,F00-F03,Dementia vascularis
"#F5,#ASTHMA_CM,#COPD,#ILD_CM",3,,F5_ALCOHOL,Mental and behavioural disorders due to alcohol,,F5_ALCOHOLAC|F5_ALCOHOL_DEPENDENCE,,,,,,F10,303|291,291,F100,,,,F10,303|291,291,F101,,,,,,,,,,,,,,,,,,,DF5,F10-F19,Perturbationes mentis et modi se gerendi ex usu alcohol
"#F5,#ASTHMA_CM,#COPD,#ILD_CM",4,,F5_ALCOHOLAC,Acute alcohol intoxication,,,,,,,,F100,3050A,303,,,,,F100,3050A,303,,,,,,,,,,,,,,,,,,,,DF2,F10,
#F5,4,,F5_ALCOHOL_DEPENDENCE,Alcohol dependence,,,,,,,,F102,303,303,,,,,F102,303,303,,,,,,,,,,,,,,,,,,,,DF3,F10,
"#F5,#ASTHMA_CM,#COPD,#ILD_CM,#NEURO_CM,#RHEUMA_CM",3,,F5_DEPRESSIO,Depression,,,,,,,,F3[2-3],2961|2968,79020|2980,,,,,F3[2-3],2961|2968|3004,79020|2980|3004,,,,,,,,,,,,,,,,,,,,DF2,,
"#F5,#ASTHMA_CM,#COPD,#ILD_CM,#NEURO_CM",2,,F5_SCHIZO,"Schizophrenia, schizotypal and delusional disorders",,F5_SCHZPHR|F5_SCHIZOTYP|F5_DELUSIO|F5_PSYTRANS|F5_INDUDEL|F5_SCHIZOAFF|F5_PSYCHOTH,,,,,,F20,,,,,,,F20,,,,,,,,,,,,,,,,,,,,,,DF2,F20-F29,Schizophrenia
"#F5,#ASTHMA_CM,#COPD,#ILD_CM,#NEURO_CM",3,,F5_SCHZPHR,Schizophrenia,,,,,,,,F20,295,295,,2954|2957,2957,,F20,295,295,,2954|2957,2957,,,,,,,,,,,,,,,,,DF2,F20-F29,Schizophrenia
"#F5,#ASTHMA_CM,#COPD,#ILD_CM,#NEURO_CM",3,,F5_SCHIZOTYP,Schizotypal disorder,,,,,,,,F21,$!$,$!$,,,,,F21,$!$,$!$,,,,,,,,,,,,,,,,,,,,DF2,F20-F29,Perturbatio schizotypica
"#F5,#ASTHMA_CM,#COPD,#ILD_CM,#NEURO_CM",3,,F5_DELUSIO,Persistent delusional disorders,,,,,,,,F22,2971,297,,,,,F22,2971,297,,,,,,,,,,,,,,,,,,,,DF2,F20-F29,Perturbationes delusionales persistentes
"#F5,#ASTHMA_CM,#COPD,#ILD_CM,#NEURO_CM",3,,F5_PSYTRANS,Acute and transient psychotic disorders,,,,,,,,F23,298,298,,,2989,,F23,298,298,,,2989,,,,,,,,,,,,,,,,,DF2,F20-F29,Perturbationes psychoticae acutae et temporariae
"#F5,#ASTHMA_CM,#COPD,#ILD_CM,#NEURO_CM",3,,F5_INDUDEL,Induced delusional disorder,,,,,,,,F24,2973,$!$,,,,,F24,2973,$!$,,,,,,,,,,,,,,,,,,,,DF2,F20-F29,Perturbatio delusionalis inducta
"#F5,#ASTHMA_CM,#COPD,#ILD_CM,#NEURO_CM",3,,F5_SCHIZOAFF,Schizoaffective disorder,,,,,,,,F25,2957,2957,,,,,F25,2957,2957,,,,,,,,,,,,,,,,,,,,DF2,F20-F29,Perturbationes schizoaffectivae
"#F5,#ASTHMA_CM,#COPD,#ILD_CM,#NEURO_CM",3,,F5_PSYCHOTH,Other and unspecified nonorganic psychotic disorders,,,,,,,,F2[8-9],2989,29999,,,,,F2[8-9],2989,29999,,,,,,,,,,,,,,,,,,,,DF2,,
"#F5,#ASTHMA_CM,#COPD,#ILD_CM,#NEURO_CM",4,,F5_PHOBANX,Phobic anxiety disorders,,,,,,,,F40,3002C|3002D,3002,,,,,F40,3002C|3002D,3002,,,,,,,,,,,,,,,,,,,,DF2,F40-F48,Perturbationes anxiferae phobicae
"#F5,#ASTHMA_CM,#COPD,#ILD_CM,#NEURO_CM",4,,F5_GAD,Generalized anxiety disorder,,,,,,,,F411,3000C,$!$,,,,,F411,3000C,$!$,,,,,,,,,,,,,,,,,,,,DF2,F41,Perturbatio anxifera generalisata
"#F5,#ASTHMA_CM,#COPD,#ILD_CM,#NEURO_CM",4,,F5_PANIC,Panic disorder,,,,,,,,F410,3000B|3002B,$!$,,,,,F410,3000B|3002B,$!$,,,,,,,,,,,,,,,,,,,,DF2,F41,Angor paroxysmalis episodicus
"#F5,#ASTHMA_CM,#COPD,#ILD_CM,#NEURO_CM",4,,F5_ANXIETY,Other anxiety disorders,,,,,,,,F41[2-9],3000A,3000,,,,,F41[2-9],3000A,3000,,,,,,,,,,,,,,,,,,,,DF2,,
"#F5,#ASTHMA_CM,#COPD,#ILD_CM,#NEURO_CM",4,,F5_OCD,Obsessive-compulsive disorder,,,,,,,,F42,3003,3003,,,,,F42,3003,3003,,,,,,,,,,,,,,,,,,,,DF2,F40-F48,Perturbatio obsessivo-compulsiva
"#F5,#OPHTAL_CM,#NEURO",,,F5_Dementia_U,Undefined dementia,,,,,,,,F03,290,290,,,2901[0-1],,F03,290,290,,,2901[0-1],,,,,,,,,,,,,,,,,DF2,F00-F03,Dementia non specificata
"#F5,#NEURO",3,,F5_SLEEP,Sleep disorders,,F5_INSOMNIA|F5_HYPERSOMNIA|F5_SLEEPWAKE|F5_SLEEPTERRORS|F5_NIGHTMARES|F5_SLEEP_NOS,,,,,,F51,3074,3064,,,,,F51,3074,3064,,,,,,,,,,,,,,,,,,,,DF2,F50-F59,Perturbationes somni non organicae
#F5,,,F5_INSOMNIA,Insomnia,,,,,,,,F510|G470,$!$,$!$,,,,,F510|G470,$!$,$!$,,,,,,,,,,,,,,,,,,,,DF5,,
#F5,,,F5_HYPERSOMNIA,Hypersomnia,,,,,,,,F511|G471,$!$,$!$,,,,,F511|G471,$!$,$!$,,,,,,,,,,,,,,,,,,,,DF5,,
#F5,,,F5_SLEEPWAKE,Disorder of the sleep-wake schedule,,,,,,,,F512|G472,3074F,$!$,,,,,F512|G472,3074F,$!$,,,,,,,,,,,,,,,,,,,,DF5,,
#F5,,,F5_SLEEPWALKING,Sleepwalking [somnambulism],,,,,,,,F513,$!$,$!$,,,,,F513,$!$,$!$,,,,,,,,,,,,,,,,,,,,DF5,,
#F5,,,F5_SLEEPTERRORS,Sleep terrors [night terrors],,,,,,,,F514,$!$,$!$,,,,,F514,$!$,$!$,,,,,,,,,,,,,,,,,,,,DF5,,
#F5,,,F5_NIGHTMARES,Nightmares,,,,,,,,F515,$!$,$!$,,,,,F515,$!$,$!$,,,,,,,,,,,,,,,,,,,,DF5,,
#F5,,,F5_SLEEP_NOS,"Sleep disorders, other/unspeficied",,,,,,,,F51[8-9],$!$,$!$,,,,,F51[8-9],$!$,$!$,,,,,,,,,,,,,,,,,,,,DF5,,
#F5,C,,RX_N05C,Use of hypnotics and sedatives,,,,,,,,,,,,,,,,,,,,,,,,,,,,N05C#,,,,,,,,,DF5,,
"#F5,#NEURO_CM",3,,F5_ALLANXIOUS,All anxiety disorders,,F5_GAD|F5_PANIC|F5_ANXIETY|F5_PHOBANX|F5_OCD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DF2,,
"#F5,#NEURO_CM",3,,F5_PTSD,Post-traumatic stress disorder,,,,,,,,F431,3098X,$!$,,,,,F431,3098X,$!$,,,,,,,,,,,,,,,,,,,,DF2,F43,Perturbatio stressualis posttraumatica
"#F5,#NEURO_CM",3,,F5_STRESSOTH,"Other reactioin to severe stress, and adjustment disorders",,,,,,,,F43,309,$!$,F431,,,,F43,309,$!$,F431,,,,,,,,,,,,,,,,,,,DF2,F40-F48,Reactio e stressu severi
"#F5,#NEURO_CM",3,,F5_DISSOCIATIVE,Dissociative [conversion] disorders,,,,,,,,F44,3001,3001,,,,,F44,3001,3001,,,,,,,,,,,,,,,,,,,,DF2,F40-F48,Perturbationes dissociativae
"#F5,#NEURO_CM",3,,F5_SOMATOFORM,Somatoform disorder,,,,,,,,F45,3008|3007,305,,,,,F45,3008|3007,305,,,,,,,,,,,,,,,,,,,,DF2,F40-F48,Perturbationes somatoformes
"#F5,#NEURO_CM",3,,F5_NEUROTICOTH,Other neurotic disorders,,,,,,,,F48,3006|3009,300[5-9],,,,,F48,3006|3009,300[5-9],,,,,,,,,,,,,,,,,,,,DF2,F40-F48,Aliae perturbationes neuroticae
"#F5,#NEURO_CM",2,,F5_MOOD,Mood [affective] disorders,,F5_MANIA|F5_BIPO|F5_DEPRESSIO|F5_PERSMOOD|F5_MOODOTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DF2,,
"#F5,#NEURO_CM",3,,F5_MANIA,Manic episode,,,,,,,,F30,$!$,$!$,,,,,F30,$!$,$!$,,,,,,,,,,,,,,,,,,,,DF2,F30-F39,Mania
"#F5,#NEURO_CM",3,,F5_BIPO,Bipolar affective disorders,,,,,,,,F31,296[2-7],296,,,2960|29699,,F31,296[2-7],296,,,2960|29699,,,,,,,,,,,,,,,,,DF2,F30-F39,Perturbatio affectiva bipolaris
"#F5,#NEURO_CM",3,,F5_PERSMOOD,Persistent mood disorders,,,,,,,,F34,3004,3004,,,,,F34,$!$,$!$,,,,,,,,,,,,,,,,,,,,DF2,F30-F39,Perturbationes affectivae persistentes
"#F5,#NEURO_CM",3,,F5_MOODOTH,Other and unspecidied mood [affective] disorders,,,,,,,,F3[8-9],$!$,29699,,,,,F3[8-9],$!$,29699,,,,,,,,,,,,,,,,,,,,DF2,,
"#F5,#NEURO_CM",2,,F5_BEHEMOCHILD,Behauvioural and emotional disorders with onset usually occuring in childhood and adolescence,,F5_ADHD|F5_HYPERKIN|F5_CONDUCT|F5_CONDUCTEMO|F5_EMOCHILD|F5_TIC|F5_BEHEMOTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DF2,,
"#F5,#NEURO_CM",3,,F5_ADHD,Disturbance of activity and attention,,,,,,,,F900,3140,$!$,,,,,F900,3140,$!$,,,,,,,,,,,,,,,,,,,,DF2,F90,Perturbatio activitatis et attentionis
"#F5,#NEURO_CM",3,,F5_HYPERKIN,Hyperkinetic disorders (excl. ADHD),,,,,,,,F90,3141,$!$,F900,,,,F90,3141,$!$,F900,,,,,,,,,,,,,,,,,,,DF2,F90-F98,Perturbationes hyperkineticae
"#F5,#NEURO_CM",3,,F5_CONDUCT,Conduct disorder,,,,,,,,F91,312,30899,,,,,F91,312,30899,,,,,,,,,,,,,,,,,,,,DF2,F90-F98,Perturbationes modi se gerendi
"#F5,#NEURO_CM",3,,F5_CONDUCTEMO,Mixed disorders of conduct and emotions,,,,,,,,F92,$!$,$!$,,,,,F92,$!$,$!$,,,,,,,,,,,,,,,,,,,,DF2,F90-F98,Perturbationes modi se gerendi et emotionales mixtae
"#F5,#NEURO_CM",3,,F5_EMOCHILD,Emotional disorders and disorders of social functioning with onset specific to childhood,,,,,,,,F9[3-4],313,$!$,,,,,F9[3-4],313,$!$,,,,,,,,,,,,,,,,,,,,DF2,,
"#F5,#NEURO_CM",3,,F5_TIC,Tic disorders,,,,,,,,F95,3333A,30620,,,,,F95,3333A,30620,,,,,,,,,,,,,,,,,,,,DF2,F90-F98,Perturbationes ticiformes
"#F5,#NEURO_CM",3,,F5_BEHEMOTH,Other behavioural and emotional disorders with onset usually occuring in childhood and adolescence,,,,,,,,F98,307[6-7]|3075D|3075C,306[6-7],,,,,F98,307[6-7]|3075D|3075C,306[6-7],,,,,,,,,,,,,,,,,,,,DF2,F90-F98,Aliae perturbationes modi se gerendi et emotionales usitate in pueritia sive adolescentia incipientes
"#F5,#NEURO_CM",2,,F5_UNSMENDIS,Unspecified mental disorder,,F5_MENTALUNSPE|F5_KELAMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DF2,,
"#F5,#NEURO_CM",3,,F5_MENTALUNSPE,"Mental disorders, not otherwise specified",,,,,,,,F99,$!$,$!$,,,,,F99,$!$,$!$,,,,,,,,,,,,,,,,,,,,DF2,F99-F99,Perturbatio mentis non aliter specificata
