	term	label	source	quality	action
Diabetes mellitus	http://www.ebi.ac.uk/efo/EFO_0000400	diabetes mellitus	EFO OBO	match	
Diabetes insipidus	http://purl.obolibrary.org/obo/MONDO_0004782	diabetes insipidus	EFO OBO	match	
Disorders of puberty	http://www.ebi.ac.uk/efo/EFO_0001382	puberty	OLS API EFO lookup	fuzzy	check if valid
Type 1 diabetes	http://www.ebi.ac.uk/efo/EFO_0001359	type I diabetes mellitus	EFO OBO	match	
Type 1 diabetes with coma	http://www.ebi.ac.uk/efo/EFO_0009757	idiopathic type 1 diabetes	OLS API EFO lookup	fuzzy	check if valid
Type 1 diabetes with ketoacidosis	http://www.ebi.ac.uk/efo/EFO_1000897	diabetic ketoacidosis	OLS API EFO lookup	fuzzy	check if valid
Type 1 diabetes with other specified/multiple/unspecified complications	http://www.ebi.ac.uk/efo/EFO_0001359	type I diabetes mellitus	OLS API EFO lookup	fuzzy	check if valid
Type 1 diabetes with neurological complications	http://www.ebi.ac.uk/efo/EFO_0010977	macrovascular complications of diabetes	OLS API EFO lookup	fuzzy	check if valid
Type 1 diabetes without complications	http://www.ebi.ac.uk/efo/EFO_0009756	autoimmune type 1 diabetes	OLS API EFO lookup	fuzzy	check if valid
Type 1 diabetes with ophthalmic complications	http://www.ebi.ac.uk/efo/EFO_0010977	macrovascular complications of diabetes	OLS API EFO lookup	fuzzy	check if valid
Type 1 diabetes with peripheral circulatory complications	http://www.ebi.ac.uk/efo/EFO_0010977	macrovascular complications of diabetes	OLS API EFO lookup	fuzzy	check if valid
Type 1 diabetes with renal complications	http://www.orpha.net/ORDO/Orphanet_93111	Renal cysts and diabetes syndrome	OLS API EFO lookup	fuzzy	check if valid
Type 1 diabetes, strict (exclude DM2)	http://www.ebi.ac.uk/efo/EFO_0009756	autoimmune type 1 diabetes	OLS API EFO lookup	fuzzy	check if valid
Type 2 diabetes	http://www.ebi.ac.uk/efo/EFO_0001360	type II diabetes mellitus	EFO OBO	match	
Type 2 diabetes with coma	http://www.ebi.ac.uk/efo/EFO_1001503	type II diabetes mellitus with acanthosis nigricans	OLS API EFO lookup	fuzzy	check if valid
Type 2 diabetes with ketoacidosis	http://www.ebi.ac.uk/efo/EFO_1000897	diabetic ketoacidosis	OLS API EFO lookup	fuzzy	check if valid
Type 2 diabetes with other specified/multiple/unspecified complications	http://www.ebi.ac.uk/efo/EFO_0010977	macrovascular complications of diabetes	OLS API EFO lookup	fuzzy	check if valid
Type 2 diabetes with neurological complications	http://www.ebi.ac.uk/efo/EFO_0010977	macrovascular complications of diabetes	OLS API EFO lookup	fuzzy	check if valid
Type 2 diabetes without complications	http://www.ebi.ac.uk/efo/EFO_0004997	type 2 diabetes nephropathy	OLS API EFO lookup	fuzzy	check if valid
Type 2 diabetes with ophthalmic complications	http://www.ebi.ac.uk/efo/EFO_0010977	macrovascular complications of diabetes	OLS API EFO lookup	fuzzy	check if valid
Type 2 diabetes with peripheral circulatory complications	http://www.ebi.ac.uk/efo/EFO_0010977	macrovascular complications of diabetes	OLS API EFO lookup	fuzzy	check if valid
Type 2 diabetes with renal complications	http://www.ebi.ac.uk/efo/EFO_0010977	macrovascular complications of diabetes	OLS API EFO lookup	fuzzy	check if valid
Type 2 diabetes, strict (exclude DM1)	http://www.ebi.ac.uk/efo/EFO_0004997	type 2 diabetes nephropathy	OLS API EFO lookup	fuzzy	check if valid
Unspecified diabetes	http://www.ebi.ac.uk/efo/EFO_0001359	type I diabetes mellitus	OLS API EFO lookup	fuzzy	check if valid
Unspecified diabetes with ketoacidosis	http://www.ebi.ac.uk/efo/EFO_1000897	diabetic ketoacidosis	OLS API EFO lookup	fuzzy	check if valid
Unspecified diabetes with multiple/unspecified complications	http://www.ebi.ac.uk/efo/EFO_0010977	macrovascular complications of diabetes	OLS API EFO lookup	fuzzy	check if valid
Unspecified diabetes without complications	http://www.ebi.ac.uk/efo/EFO_0010977	macrovascular complications of diabetes	OLS API EFO lookup	fuzzy	check if valid
Other endocrine disorders					
Endocrine disorders, other/unspecified					
Disorders of other endocrine glands					
Postprocedural endocrine and metabolic disorders, not elsewhere classified					
Endocrine, nutritional and metabolic diseases					
Other disorders of fluid, electrolyte and acid-base balance	http://purl.obolibrary.org/obo/HP_0001939	"""Other disorders of fluid, electrolyte and acid-base balance"""	Zooma API lookup	match	
Other disorders of electrolyte and fluid balance, not elsewhere classified					
Gilbert syndrome	http://www.ebi.ac.uk/efo/EFO_0005556	Gilbert syndrome	OLS API EFO lookup	match	
Other disorders of glucose regulation and pancreatic internal secretion					
Nontoxic diffuse goitre	http://purl.obolibrary.org/obo/MONDO_0001658	nontoxic goiter	OLS API EFO lookup	fuzzy	check if valid
Nontoxic multinodular goitre	http://purl.obolibrary.org/obo/MONDO_0001658	nontoxic goiter	OLS API EFO lookup	fuzzy	check if valid
Other and/or unspecified nontoxic goitre	http://purl.obolibrary.org/obo/MONDO_0001658	nontoxic goiter	OLS API EFO lookup	fuzzy	check if valid
Nontoxic single thyroid nodule	http://purl.obolibrary.org/obo/MONDO_0001658	nontoxic goiter	OLS API EFO lookup	fuzzy	check if valid
Hyperaldosteronism	http://www.ebi.ac.uk/efo/EFO_0009452	hyperaldosteronism	EFO OBO	match	
Pure hypercholesterolaemia	http://www.ebi.ac.uk/efo/EFO_0007617	pure tone hearing measurement	OLS API EFO lookup	fuzzy	check if valid
Pure hyperglyceridaemia	http://www.ebi.ac.uk/efo/EFO_0007617	pure tone hearing measurement	OLS API EFO lookup	fuzzy	check if valid
Hyperkalaemia	http://purl.obolibrary.org/obo/HP_0002153	hyperkalaemia	OT Zooma Mappings	match	
Mixed hyperlipidaemia	http://www.ebi.ac.uk/efo/EFO_1002031	Hodgkins lymphoma, mixed cellularity	OLS API EFO lookup	fuzzy	check if valid
Hyperlipidaemia, other/unspecified	http://www.ebi.ac.uk/efo/EFO_0000778	anthrax infection	OLS API EFO lookup	fuzzy	check if valid
Hyperosmolality and hypernatraemia					
Hyperparathyroidism	http://www.ebi.ac.uk/efo/EFO_0008506	hyperparathyroidism	EFO OBO	match	
Hyperfunction of pituitary gland	http://www.ebi.ac.uk/efo/EFO_1000973	Hyperfunction of pituitary gland	Zooma API lookup	match	
Hyperprolactinaemia	http://www.ebi.ac.uk/efo/EFO_0007319	hyperprolactinemia	EFO OBO	match	
Hyperprolactinaemia, drug-induced	http://www.ebi.ac.uk/efo/EFO_1000904	drug-Induced dyskinesia	OLS API EFO lookup	fuzzy	check if valid
Drug-induced hypoglycaemia without coma	http://purl.obolibrary.org/obo/MONDO_0018619	hyperinsulinemic hypoglycaemia	OLS API EFO lookup	fuzzy	check if valid
Hypoglycaemia, other or unspecified	http://www.ebi.ac.uk/efo/EFO_0009734	unspecified juvenile idiopathic arthritis	OLS API EFO lookup	fuzzy	check if valid
Hypokalaemia					
Hypo-osmolality and hyponatraemia					
Hypoparathyroidism	http://www.ebi.ac.uk/efo/EFO_0009451	hypoparathyroidism	EFO OBO	match	
Hypopituitarism	http://www.ebi.ac.uk/efo/EFO_0001380	hypopituitarism	EFO OBO	match	
Hypothyroidism,  other/unspecified	http://www.ebi.ac.uk/efo/EFO_0004705	hypothyroidism	OLS API EFO lookup	fuzzy	check if valid
Postinfectious hypothyroidism	http://www.ebi.ac.uk/efo/EFO_0004705	hypothyroidism	OLS API EFO lookup	fuzzy	check if valid
Hypothyroidism due to medicaments and other exogenous substances					
Hypothyroidism, strict autoimmune	http://www.ebi.ac.uk/efo/EFO_0004705	hypothyroidism	OLS API EFO lookup	fuzzy	check if valid
Hypothyroidism, strict autoimmune, 3 medication purchases required	http://www.ebi.ac.uk/efo/EFO_0004705	hypothyroidism	OLS API EFO lookup	fuzzy	check if valid
Disorders of iron metabolism	http://purl.obolibrary.org/obo/MONDO_0002279	iron metabolism disease	OLS API EFO lookup	fuzzy	check if valid
Lactose intolerance, other/unspecified	http://www.ebi.ac.uk/efo/EFO_1000062	lactose intolerance	OLS API EFO lookup	fuzzy	check if valid
Lactose intolerance	http://www.ebi.ac.uk/efo/EFO_1000062	lactose intolerance	OLS API EFO lookup	match	
Disorders of lipoprotein metabolism and other lipidaemias	http://purl.obolibrary.org/obo/MONDO_0004069	inborn mitochondrial metabolism disorder	OLS API EFO lookup	fuzzy	check if valid
Disorder of lipoprotein metabolism, unspecified					
Malnutrition	http://www.ebi.ac.uk/efo/EFO_1001067	nutritional deficiency disease	EFO OBO	match	
Other metabolic disorders	http://www.orpha.net/ORDO/Orphanet_91088	Other metabolic disease	OLS API EFO lookup	fuzzy	check if valid
Metabolic disorders					
Disorders of mineral metabolism	http://www.ebi.ac.uk/efo/EFO_0009556	Disorders of mineral metabolism	Zooma API lookup	match	
Other nutritional deficiencies	http://www.ebi.ac.uk/efo/EFO_1001067	Other nutritional deficiencies	Zooma API lookup	match	
Other specified/unspecified nutritional deficiencies	http://purl.obolibrary.org/obo/MONDO_0021179	proteostasis deficiencies	OLS API EFO lookup	fuzzy	check if valid
Obesity	http://www.ebi.ac.uk/efo/EFO_0001073	obesity	EFO OBO	match	
Obesity due to excess calories	http://www.ebi.ac.uk/efo/EFO_0001073	obesity	OLS API EFO lookup	fuzzy	check if valid
Drug-induced obesity	http://www.ebi.ac.uk/efo/EFO_0001073	obesity	OLS API EFO lookup	fuzzy	check if valid
Obesity, other/unspecified	http://www.ebi.ac.uk/efo/EFO_0001073	obesity	OLS API EFO lookup	fuzzy	check if valid
Extreme obesity with alveolar hypoventilation	http://purl.obolibrary.org/obo/HP_0002791	Hypoventilation	OLS API EFO lookup	fuzzy	check if valid
Obesity and other hyperalimentation	http://www.orpha.net/ORDO/Orphanet_2563	MOMO syndrome	OLS API EFO lookup	fuzzy	check if valid
Ovarian dysfunction	http://www.ebi.ac.uk/efo/EFO_0009003	ovarian dysfunction	EFO OBO	match	
Primary ovarian failure	http://www.ebi.ac.uk/efo/EFO_0004266	primary ovarian insufficiency	EFO OBO	match	
Disorder of pancreatic internal secretion, other and/or unspecified	http://purl.obolibrary.org/obo/GO_0030157	pancreatic juice secretion	OLS API EFO lookup	fuzzy	check if valid
Disorders of parathyroid gland, other and/or unspecified	http://www.ebi.ac.uk/efo/EFO_0005754	parathyroid disease	OLS API EFO lookup	fuzzy	check if valid
Disorders of parathyroid gland	http://www.ebi.ac.uk/efo/EFO_0005754	parathyroid disease	OLS API EFO lookup	fuzzy	check if valid
Disorders of pituitary gland, other and/or unspecified					
Disorders of plasma-protein metabolism, not elsewhere classified	http://www.orpha.net/ORDO/Orphanet_289098	Disorders of vitamin D metabolism	OLS API EFO lookup	fuzzy	check if valid
Polycystic ovarian syndrome	http://www.ebi.ac.uk/efo/EFO_0000660	polycystic ovarian syndrome	Zooma API lookup	match	
Disorders of porphyrin and bilirubin metabolism					
Short stature, not elsewhere classified	http://www.orpha.net/ORDO/Orphanet_2220	Hypertrichosis cubiti - short stature	OLS API EFO lookup	fuzzy	check if valid
Testicular hypofunction	http://www.ebi.ac.uk/efo/EFO_0003101	testicular seminoma	OLS API EFO lookup	fuzzy	check if valid
Testicular dysfunction	http://www.ebi.ac.uk/efo/EFO_0009003	ovarian dysfunction	OLS API EFO lookup	fuzzy	check if valid
Disorders of the thyroid gland	http://www.ebi.ac.uk/efo/EFO_1000627	thyroid disease	OLS API EFO lookup	fuzzy	check if valid
Autoimmune thyroiditis	http://www.ebi.ac.uk/efo/EFO_0006812	autoimmune thyroid disease	EFO OBO	match	
Thyroiditis, unspecified	http://www.ebi.ac.uk/efo/EFO_0003779	Hashimoto's thyroiditis	OLS API EFO lookup	fuzzy	check if valid
Subacute thyroiditis	http://www.ebi.ac.uk/efo/EFO_1001194	subacute thyroiditis	EFO OBO	match	
Disorder of thyroid, unspecified	http://www.ebi.ac.uk/efo/EFO_1000627	thyroid disease	OLS API EFO lookup	fuzzy	check if valid
Thyrotoxicosis with diffuse goitre	http://www.ebi.ac.uk/efo/EFO_0009190	Thyrotoxicosis	OLS API EFO lookup	fuzzy	check if valid
Thyrotoxicosis with toxic multinodular goitre	http://www.ebi.ac.uk/efo/EFO_0009190	Thyrotoxicosis	OLS API EFO lookup	fuzzy	check if valid
Thyrotoxicosis, other and/or unspecified	http://www.ebi.ac.uk/efo/EFO_0009190	Thyrotoxicosis	OLS API EFO lookup	fuzzy	check if valid
Thyrotoxicosis with toxic single thyroid nodule	http://www.ebi.ac.uk/efo/EFO_0009190	Thyrotoxicosis	OLS API EFO lookup	fuzzy	check if valid
Deficiency of other B group vitamins	http://www.orpha.net/ORDO/Orphanet_309833	Disorder of other vitamins and cofactors metabolism and transport	OLS API EFO lookup	fuzzy	check if valid
Vitamin deficiency	http://purl.obolibrary.org/obo/MONDO_0024298	vitamin deficiency disorder	EFO OBO	match	
Vitamin D deficiency	http://www.ebi.ac.uk/efo/EFO_0003762	vitamin D deficiency	OLS API EFO lookup	match	
Volume depletion	http://purl.obolibrary.org/obo/HP_0011106	Volume depletion	Zooma API lookup	match	
Encephalitis	http://purl.obolibrary.org/obo/MONDO_0019956	encephalitis	EFO OBO	match	
Epileptic seizures related to alcohol	http://www.ebi.ac.uk/efo/EFO_0006519	MMR-related febrile seizures	OLS API EFO lookup	fuzzy	check if valid
Erectile dysfunction	http://www.ebi.ac.uk/efo/EFO_0004234	erectile dysfunction	EFO OBO	match	
Eosinophilic disease (BM)	http://purl.obolibrary.org/obo/MONDO_0018438	eosinophilic gastrointestinal disease	OLS API EFO lookup	fuzzy	check if valid
Disturbance of activity and attention	http://purl.obolibrary.org/obo/HP_0031987	Diminished ability to concentrate	OLS API EFO lookup	fuzzy	check if valid
Mental and behavioural disorders due to alcohol	http://www.ebi.ac.uk/efo/EFO_0000677	mental or behavioural disorder	OLS API EFO lookup	fuzzy	check if valid
Alcohol dependence	http://purl.obolibrary.org/obo/MONDO_0002046	alcohol abuse	EFO OBO	match	
All anxiety disorders	http://www.ebi.ac.uk/efo/EFO_0006788	anxiety disorder	OLS API EFO lookup	fuzzy	check if valid
Dementia in Alzheimer disease	http://www.ebi.ac.uk/efo/EFO_1001870	late-onset Alzheimers disease	OLS API EFO lookup	fuzzy	check if valid
Anankastic personality disorder	http://purl.obolibrary.org/obo/HP_0012075	Personality disorder	OLS API EFO lookup	fuzzy	check if valid
Anorexia (incl.atypical)	http://purl.obolibrary.org/obo/HP_0002039	Anorexia	OLS API EFO lookup	fuzzy	check if valid
Other anxiety disorders	http://www.ebi.ac.uk/efo/EFO_0006788	Other anxiety disorders	Zooma API lookup	match	
Anxious personality disorder	http://purl.obolibrary.org/obo/HP_0012075	Personality disorder	OLS API EFO lookup	fuzzy	check if valid
Autism	http://www.ebi.ac.uk/efo/EFO_0003758	autism	EFO OBO	match	
Behavioural syndromes associated with physiological disturbances and physical factors	http://www.ebi.ac.uk/efo/EFO_1000931	euthyroid sick syndrome	OLS API EFO lookup	fuzzy	check if valid
Behauvioural and emotional disorders with onset usually occuring in childhood and adolescence					
Other behavioural and emotional disorders with onset usually occuring in childhood and adolescence					
Bipolar affective disorders	http://www.ebi.ac.uk/efo/EFO_0000289	bipolar disorder	OLS API EFO lookup	fuzzy	check if valid
Bulimia nervosa (incl. atypical)	http://www.ebi.ac.uk/efo/EFO_0005204	bulimia nervosa	OLS API EFO lookup	fuzzy	check if valid
Mental and behavioural disorders due to cannabinoids	http://www.ebi.ac.uk/efo/EFO_0000677	mental or behavioural disorder	OLS API EFO lookup	fuzzy	check if valid
Conduct disorder	http://www.ebi.ac.uk/efo/EFO_0004216	conduct disorder	EFO OBO	match	
Mixed disorders of conduct and emotions					
Delirium, not induced by alcohol and other psychoactive substances					
Persistent delusional disorders	http://purl.obolibrary.org/obo/MONDO_0004359	delusional disorder	OLS API EFO lookup	fuzzy	check if valid
Dementia	http://purl.obolibrary.org/obo/MONDO_0001627	dementia (disease)	EFO OBO	match	
Dementia, including avohilmo	http://www.ebi.ac.uk/efo/EFO_0004718	vascular dementia	OLS API EFO lookup	fuzzy	check if valid
Dementia in other diseases classified elsewhere	http://www.ebi.ac.uk/efo/EFO_0000318	cardiomyopathy	OLS API EFO lookup	fuzzy	check if valid
Unspecified dementia	http://purl.obolibrary.org/obo/HP_0000726	Unspecified dementia	Zooma API lookup	match	
Dependent personality disorder	http://purl.obolibrary.org/obo/HP_0012075	Personality disorder	OLS API EFO lookup	fuzzy	check if valid
Depression	http://purl.obolibrary.org/obo/MONDO_0002050	depressive disorder	EFO OBO	match	
Dissocial personality disorder	http://purl.obolibrary.org/obo/HP_0012075	Personality disorder	OLS API EFO lookup	fuzzy	check if valid
Dissociative [conversion] disorders	http://purl.obolibrary.org/obo/MONDO_0001160	dissociative disorder	OLS API EFO lookup	fuzzy	check if valid
Undefined dementia	http://purl.obolibrary.org/obo/HP_0000726	Dementia	OLS API EFO lookup	fuzzy	check if valid
Undefined dementia (more controls excluded)	http://purl.obolibrary.org/obo/HP_0000726	Dementia	OLS API EFO lookup	fuzzy	check if valid
Eating disorders	http://www.ebi.ac.uk/efo/EFO_0005203	eating disorder	OLS API EFO lookup	fuzzy	check if valid
Other eating disorders	http://www.ebi.ac.uk/efo/EFO_0005203	eating disorder	OLS API EFO lookup	fuzzy	check if valid
Emotional disorders and disorders of social functioning with onset specific to childhood	http://purl.obolibrary.org/obo/MONDO_0024417	perceptual disorders	OLS API EFO lookup	fuzzy	check if valid
Emotionally unstable personality disorder	http://www.ebi.ac.uk/efo/EFO_0005429	borderline personality disorder symptom	OLS API EFO lookup	fuzzy	check if valid
Generalized anxiety disorder	http://www.ebi.ac.uk/efo/EFO_1001892	generalized anxiety disorder	EFO OBO	match	
Gender identity disorders	http://www.ebi.ac.uk/efo/EFO_0008587	Gender identity disorders	Zooma API lookup	match	
Habit and impulse disorders					
Mental and behavioural disorders due to hallucinogens	http://www.ebi.ac.uk/efo/EFO_0000677	mental or behavioural disorder	OLS API EFO lookup	fuzzy	check if valid
Histrionic personality disorder	http://purl.obolibrary.org/obo/HP_0012075	Personality disorder	OLS API EFO lookup	fuzzy	check if valid
Hyperkinetic disorders (excl. ADHD)	http://www.ebi.ac.uk/efo/EFO_0003888	attention deficit hyperactivity disorder	OLS API EFO lookup	fuzzy	check if valid
Hypersomnia	http://www.ebi.ac.uk/efo/EFO_0005246	hypersomnia	EFO OBO	match	
Insomnia	http://www.ebi.ac.uk/efo/EFO_0004698	insomnia	EFO OBO	match	
Kela-cod for severe mental illness	http://purl.obolibrary.org/obo/HP_0010864	Intellectual disability, severe	OLS API EFO lookup	fuzzy	check if valid
Kela-code for behavioural disturbances in mental retardation	http://www.ebi.ac.uk/efo/EFO_0000677	mental or behavioural disorder	OLS API EFO lookup	fuzzy	check if valid
Manic episode	http://www.ebi.ac.uk/efo/EFO_0007706	Manic episode	Zooma API lookup	match	
Mental disorders, not otherwise specified	http://www.ebi.ac.uk/efo/EFO_1000178	Chronic Eosinophilic Leukemia, Not Otherwise Specified	OLS API EFO lookup	fuzzy	check if valid
Other mental disorders due to brain damage and dysfunction and to physical disease	http://purl.obolibrary.org/obo/HP_0000011	Neurogenic bladder	OLS API EFO lookup	fuzzy	check if valid
Mental and behauvioural disorders associated with the puerperium					
Mental retardation	http://www.ebi.ac.uk/efo/EFO_0003847	mental retardation	EFO OBO	match	
Mild mental retardation	http://purl.obolibrary.org/obo/HP_0001256	Intellectual disability, mild	OLS API EFO lookup	match	
Mixed specific developmental disorders	http://www.ebi.ac.uk/efo/EFO_0003852	developmental disability	OLS API EFO lookup	fuzzy	check if valid
Mixed and other personality disorders	http://purl.obolibrary.org/obo/HP_0012075	Mixed and other personality disorders	Zooma API lookup	match	
Moderate mental retardation	http://purl.obolibrary.org/obo/HP_0002342	Intellectual disability, moderate	OLS API EFO lookup	match	
Mood [affective] disorders	http://www.ebi.ac.uk/efo/EFO_0004247	mood disorder	OLS API EFO lookup	fuzzy	check if valid
Other and unspecidied mood [affective] disorders	http://www.ebi.ac.uk/efo/EFO_0004247	mood disorder	OLS API EFO lookup	fuzzy	check if valid
Specific developmental disorder of motor function	http://purl.obolibrary.org/obo/MONDO_0000592	specific developmental disorder	OLS API EFO lookup	fuzzy	check if valid
Neurotic, stress-related and somatoform disorders					
Other neurotic disorders	http://www.ebi.ac.uk/efo/EFO_0004257	neurotic disorder	OLS API EFO lookup	fuzzy	check if valid
Obsessive-compulsive disorder	http://www.ebi.ac.uk/efo/EFO_0004242	obsessive-compulsive disorder	EFO OBO	match	
Mental and behavioural disorders due to opioids	http://www.ebi.ac.uk/efo/EFO_0000677	mental or behavioural disorder	OLS API EFO lookup	fuzzy	check if valid
Organic, including symptomatic, mental disorders	http://www.ebi.ac.uk/efo/EFO_0000677	mental or behavioural disorder	OLS API EFO lookup	fuzzy	check if valid
Mental and behavioural disorders due to multiple drug use and use of multiple drugs and use of other psycoactive substances					
Other specified and unspecified personality disorders	http://www.ebi.ac.uk/efo/EFO_0000516	glaucoma	OLS API EFO lookup	fuzzy	check if valid
Other and unspecified mental retardation	http://www.ebi.ac.uk/efo/EFO_0009734	unspecified juvenile idiopathic arthritis	OLS API EFO lookup	fuzzy	check if valid
Panic disorder	http://www.ebi.ac.uk/efo/EFO_0004262	panic disorder	EFO OBO	match	
Paranoid personality disorder	http://purl.obolibrary.org/obo/MONDO_0001163	paranoid personality disorder	EFO OBO	match	
Personality and behavioural disorders due to brain disease, damage and dysfunction					
Persistent mood disorders	http://www.ebi.ac.uk/efo/EFO_0004247	mood disorder	OLS API EFO lookup	fuzzy	check if valid
Disorders of adult personality and behaviour	http://www.ebi.ac.uk/efo/EFO_0007052	antisocial behaviour measurement	OLS API EFO lookup	fuzzy	check if valid
Specific personality disorders					
Other and unspecified disorders of adult personality and behauviour					
Pervasive developmental disorders excl. Autism + Asperger	http://www.ebi.ac.uk/efo/EFO_0003756	autism spectrum disorder	OLS API EFO lookup	fuzzy	check if valid
Phobic anxiety disorders	http://www.ebi.ac.uk/efo/EFO_1001908	Phobic anxiety disorders	Zooma API lookup	match	
Unspefcified behauvioural syndromes associated with physiological disturbances and physical factors +Phsyiological and behauvioural factors associated with disorders of diseases classified elsewhere					
Psychiatric diseases	http://purl.obolibrary.org/obo/MONDO_0002025	psychiatric disorder	OLS API EFO lookup	fuzzy	check if valid
Disorders of psychological developtment	http://www.ebi.ac.uk/efo/EFO_0009095	psychological measurement	OLS API EFO lookup	fuzzy	check if valid
Other and unspecified disorders of psychological development	http://www.ebi.ac.uk/efo/EFO_0009734	unspecified juvenile idiopathic arthritis	OLS API EFO lookup	fuzzy	check if valid
Other and unspecified nonorganic psychotic disorders	http://www.ebi.ac.uk/efo/EFO_0000692	schizophrenia	OLS API EFO lookup	fuzzy	check if valid
Acute and transient psychotic disorders	http://www.ebi.ac.uk/efo/EFO_0005940	Acute and transient psychotic disorders	Zooma API lookup	match	
Post-traumatic stress disorder	http://www.ebi.ac.uk/efo/EFO_0001358	post-traumatic stress disorder	EFO OBO	match	
Schizophrenia, schizotypal and delusional disorders					
Schizoaffective disorder	http://www.ebi.ac.uk/efo/EFO_0005411	schizoaffective disorder	EFO OBO	match	
Schizotypal disorder	http://purl.obolibrary.org/obo/MONDO_0001087	schizotypal personality disorder	OLS API EFO lookup	fuzzy	check if valid
Schizoid personality disorder	http://purl.obolibrary.org/obo/MONDO_0001161	schizoid personality disorder	EFO OBO	match	
Specific development disorders of scholastic skills	http://www.ebi.ac.uk/efo/EFO_0003756	autism spectrum disorder	OLS API EFO lookup	fuzzy	check if valid
Schizophrenia	http://www.ebi.ac.uk/efo/EFO_0000692	schizophrenia	EFO OBO	match	
Mental and behavioural disorders due to sedatives or hypnotics	http://www.ebi.ac.uk/efo/EFO_0000677	mental or behavioural disorder	OLS API EFO lookup	fuzzy	check if valid
Sexual dysfunction	http://purl.obolibrary.org/obo/MONDO_0002134	physiological sexual disorder	EFO OBO	match	
Sleep disorders	http://purl.obolibrary.org/obo/MONDO_0003406	sleep-wake disorder	EFO OBO	match	
Disorder of the sleep-wake schedule	http://purl.obolibrary.org/obo/MONDO_0003406	sleep-wake disorder	OLS API EFO lookup	fuzzy	check if valid
Sleep disorders, other/unspeficied	http://www.ebi.ac.uk/efo/EFO_0008568	Sleep Disorder	OLS API EFO lookup	fuzzy	check if valid
Somatoform disorder	http://www.ebi.ac.uk/efo/EFO_0009687	somatoform disorder	EFO OBO	match	
Specific development disorders of speech and language	http://purl.obolibrary.org/obo/HP_0000750	Delayed speech and language development	OLS API EFO lookup	fuzzy	check if valid
Mental and behavioural disorders due to use of other stimulants, including caffeine	http://www.ebi.ac.uk/efo/EFO_0000677	mental or behavioural disorder	OLS API EFO lookup	fuzzy	check if valid
Other reactioin to severe stress, and adjustment disorders					
Substance use, excluding alcohol	http://www.ebi.ac.uk/efo/EFO_0009458	alcohol use disorder measurement	OLS API EFO lookup	fuzzy	check if valid
Mental and behavioural disorders due to psychoctive substance use	http://www.ebi.ac.uk/efo/EFO_0000677	mental or behavioural disorder	OLS API EFO lookup	fuzzy	check if valid
Tic disorders	http://purl.obolibrary.org/obo/MONDO_0002420	tic disorder	OLS API EFO lookup	fuzzy	check if valid
Mental and behavioural disorders due to tobacco	http://www.ebi.ac.uk/efo/EFO_0000677	mental or behavioural disorder	OLS API EFO lookup	fuzzy	check if valid
Unspecified mental disorder	http://www.orpha.net/ORDO/Orphanet_254837	Unspecified mitochondrial disorder	OLS API EFO lookup	fuzzy	check if valid
Vascular dementia	http://www.ebi.ac.uk/efo/EFO_0004718	vascular dementia	EFO OBO	match	
Falls/tendenct to fall					
Focal epilepsy	http://www.ebi.ac.uk/efo/EFO_0004263	partial epilepsy	EFO OBO	match	
Femoral hernia, unilateral	http://www.ebi.ac.uk/efo/EFO_1001791	femoral hernia	OLS API EFO lookup	fuzzy	check if valid
Inguinal or femoral hernia, bilateral	http://www.ebi.ac.uk/efo/EFO_1001791	femoral hernia	OLS API EFO lookup	fuzzy	check if valid
Inguinal of femoral hernia, unilateral	http://www.ebi.ac.uk/efo/EFO_1001791	femoral hernia	OLS API EFO lookup	fuzzy	check if valid
Focal epilepsy, mode (most common among epilepsy diagnosis)	http://www.ebi.ac.uk/efo/EFO_0004263	partial epilepsy	OLS API EFO lookup	fuzzy	check if valid
Focal epilepsy, strict definition	http://www.ebi.ac.uk/efo/EFO_0004263	partial epilepsy	OLS API EFO lookup	fuzzy	check if valid
Cardiomyopathy (excluding other)	http://www.ebi.ac.uk/efo/EFO_0000318	cardiomyopathy	OLS API EFO lookup	fuzzy	check if valid
Cerebrovascular diseases (FINNGEN)	http://www.ebi.ac.uk/efo/EFO_0003763	cerebrovascular disorder	OLS API EFO lookup	fuzzy	check if valid
Cardiovascular diseases (excluding rheumatic etc)					
Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified (FINNGEN)					
Diseases of arteries, arterioles and capillaries (FINNGEN)					
Hypertensive diseases (excluding secondary)	http://www.ebi.ac.uk/efo/EFO_1000977	hypertensive retinopathy	OLS API EFO lookup	fuzzy	check if valid
Other CVD (FINNGEN)					
Other heart diseases	http://www.ebi.ac.uk/efo/EFO_0003777	heart disease	OLS API EFO lookup	fuzzy	check if valid
Pulmonary heart disease	http://purl.obolibrary.org/obo/MONDO_0004596	cor pulmonale	EFO OBO	match	
AlzheimerÕs disease, wide definition					
AlzheimerÕs disease, wide definition (more controls excluded)	http://purl.obolibrary.org/obo/HP_0000445	Wide nose	OLS API EFO lookup	fuzzy	check if valid
Degeneration of the brain due to alcohol	http://purl.obolibrary.org/obo/MONDO_0022687	cerebellar degeneration	OLS API EFO lookup	fuzzy	check if valid
Motor neuron disease	http://www.ebi.ac.uk/efo/EFO_0003782	motor neuron disease	EFO OBO	match	
Alzheimer disease	http://www.orpha.net/ORDO/Orphanet_1020	alzheimer disease	Zooma API lookup	match	
