AB1_AMOEBIASIS	Amoebiasis
CD2_BENIGN_HEAMANGIOMA_LYMPHANGIOMA_EXALLC	"Haemangioma and lymphangioma, any site" (all cancers excluded)
CD2_BENIGN_HEMANGIOMA	"Haemangioma, any site"
CD2_BENIGN_HEMANGIOMA_EXALLC	"Haemangioma, any site" (all cancers excluded)
CD2_BENIGN_INTRATHORACIC	Benign neoplasm of other and unspecified intrathoracic organs
CD2_BENIGN_INTRATHORACIC_EXALLC	Benign neoplasm of other and unspecified intrathoracic organs (all cancers excluded)
CD2_BENIGN_KIDNEY	Benign neoplasm: Kidney
CD2_BENIGN_KIDNEY_EXALLC	Benign neoplasm: Kidney (all cancers excluded)
CD2_BENIGN_LARYNX	Benign neoplasm: Larynx
CD2_BENIGN_LARYNX_EXALLC	Benign neoplasm: Larynx (all cancers excluded)
CD2_BENIGN_LEIOMYOMA_UTERI	Leiomyoma of uterus
CD2_BENIGN_LEIOMYOMA_UTERI_EXALLC	Leiomyoma of uterus (all cancers excluded)
CD2_BENIGN_LIP	Benign neoplasm: Lip
CD2_BENIGN_LIPOMATOUS	Benign lipomatous neoplasm
CD2_BENIGN_LIPOMATOUS_EXALLC	Benign lipomatous neoplasm (all cancers excluded)
CD2_BENIGN_LIPO_NOS	Benign lipomatous neoplasm of other sites/unspecified
CD2_BENIGN_LIPO_NOS_EXALLC	Benign lipomatous neoplasm of other sites/unspecified (all cancers excluded)
CD2_BENIGN_LIPO_SKIN_HEADFACENECK	"Benign lipomatous neoplasm of skin and subcutaneous tissue of head, face and neck"
CD2_BENIGN_LIPO_SKIN_HEADFACENECK_EXALLC	"Benign lipomatous neoplasm of skin and subcutaneous tissue of head, face and neck" (all cancers excluded)
CD2_BENIGN_LIPO_SKIN_LIMBS	Benign lipomatous neoplasm of skin and subcutaneous tissue of limbs
CD2_BENIGN_LIPO_SKIN_LIMBS_EXALLC	Benign lipomatous neoplasm of skin and subcutaneous tissue of limbs (all cancers excluded)
CD2_BENIGN_LIPO_SKIN_NOS	Benign lipomatous neoplasm of skin and subcutaneous tissue of other and unspecified sites
CD2_BENIGN_LIPO_SKIN_NOS_EXALLC	Benign lipomatous neoplasm of skin and subcutaneous tissue of other and unspecified sites (all cancers excluded)
CD2_BENIGN_LIPO_SKIN_TRUNK	Benign lipomatous neoplasm of skin and subcutaneous tissue of trunk
CD2_BENIGN_LIPO_SKIN_TRUNK_EXALLC	Benign lipomatous neoplasm of skin and subcutaneous tissue of trunk (all cancers excluded)
CD2_BENIGN_LIP_EXALLC	Benign neoplasm: Lip (all cancers excluded)
CD2_BENIGN_LIVER	Benign neoplasm: Liver
CD2_BENIGN_LIVER_EXALLC	Benign neoplasm: Liver (all cancers excluded)
CD2_BENIGN_LIVE_BILE	Benign neoplasm: Liver/bile ducts
CD2_BENIGN_LIVE_BILE_EXALLC	Benign neoplasm: Liver/bile ducts (all cancers excluded)
CD2_BENIGN_LYMPHANGIOMA	"Lymphangioma, anys site"
CD2_BENIGN_LYMPHANGIOMA_EXALLC	"Lymphangioma, anys site" (all cancers excluded)
CD2_BENIGN_MALE_GEN	Benign neoplasm of male genital organs
CD2_BENIGN_MALE_GEN_EXALLC	Benign neoplasm of male genital organs (all cancers excluded)
CD2_BENIGN_MELANOCYTIC	Melanocytic naevi
CD2_BENIGN_MELANOCYTIC_EXALLC	Melanocytic naevi (all cancers excluded)
CD2_BENIGN_MELANOCYTIC_EYELID	"Melanocytic naevi of eyelid, including canthus"
CD2_BENIGN_MELANOCYTIC_EYELID_EXALLC	"Melanocytic naevi of eyelid, including canthus" (all cancers excluded)
CD2_BENIGN_MELANOCYTIC_FACE	Melanocytic naevi of other and unspecified parts of face
CD2_BENIGN_MELANOCYTIC_FACE_EXALLC	Melanocytic naevi of other and unspecified parts of face (all cancers excluded)
CD2_BENIGN_MELANOCYTIC_LIP	Melanocytic naevi of lip
CD2_BENIGN_MELANOCYTIC_LIP_EXALLC	Melanocytic naevi of lip (all cancers excluded)
CD2_BENIGN_MELANOCYTIC_LOWERLIMB	"Melanocytic naevi of lower limb, including hip"
CD2_BENIGN_MELANOCYTIC_LOWERLIMB_EXALLC	"Melanocytic naevi of lower limb, including hip" (all cancers excluded)
CD2_BENIGN_MELANOCYTIC_NOS	"Melanocytic naevi, other sites/unspecified"
CD2_BENIGN_MELANOCYTIC_NOS_EXALLC	"Melanocytic naevi, other sites/unspecified" (all cancers excluded)
CD2_BENIGN_MELANOCYTIC_SCALPNECK	Melanocytic naevi of scalp and neck
CD2_BENIGN_MELANOCYTIC_SCALPNECK_EXALLC	Melanocytic naevi of scalp and neck (all cancers excluded)
CD2_BENIGN_MELANOCYTIC_TRUNK	Melanocytic naevi of trunk
CD2_BENIGN_MELANOCYTIC_TRUNK_EXALLC	Melanocytic naevi of trunk (all cancers excluded)
CD2_BENIGN_MELANOCYTIC_UPPERLIMB	"Melanocytic naevi of upper limb, including shoulder"
CD2_BENIGN_MELANOCYTIC_UPPERLIMB_EXALLC	"Melanocytic naevi of upper limb, including shoulder" (all cancers excluded)
CD2_BENIGN_MENINGES	Benign neoplasm of meninges
CD2_BENIGN_MENINGES_CEREBRAL	Benign neoplasm: Cerebral meninges
CD2_BENIGN_MENINGES_CEREBRAL_EXALLC	Benign neoplasm: Cerebral meninges (all cancers excluded)
CD2_BENIGN_MENINGES_EXALLC	Benign neoplasm of meninges (all cancers excluded)
CD2_BENIGN_MENINGES_NOS	"Beningn neoplasm: Meninges, unspecified"
CD2_BENIGN_MENINGES_NOS_EXALLC	"Beningn neoplasm: Meninges, unspecified" (all cancers excluded)
CD2_BENIGN_MENINGES_SPINAL	Benign neoplasm: Spinal meninges
CD2_BENIGN_MENINGES_SPINAL_EXALLC	Benign neoplasm: Spinal meninges (all cancers excluded)
CD2_BENIGN_MOUTH_NOS	Benign neoplasm: Other and unspecified parts of mouth
CD2_BENIGN_MOUTH_NOS_EXALLC	Benign neoplasm: Other and unspecified parts of mouth (all cancers excluded)
CD2_BENIGN_MOUTH_PHARYNX	Benign neoplasm of mouth and pharynx
CD2_BENIGN_MOUTH_PHARYNX_EXALLC	Benign neoplasm of mouth and pharynx (all cancers excluded)
CD2_BENIGN_NASOPHARYNX	Benign neoplasm: Nasopharynx
CD2_BENIGN_NASOPHARYNX_EXALLC	Benign neoplasm: Nasopharynx (all cancers excluded)
CD2_BENIGN_NOS	Benign neoplasm: Other/unspecified site
CD2_BENIGN_NOS_EXALLC	Benign neoplasm: Other/unspecified site (all cancers excluded)
CD2_BENIGN_OESOPHAGUS	Benign neoplasm: Oesophagus
CD2_BENIGN_OESOPHAGUS_EXALLC	Benign neoplasm: Oesophagus (all cancers excluded)
CD2_BENIGN_OROPHA_OTHER	Benign neoplasm: Other parts of oropharynx
CD2_BENIGN_OROPHA_OTHER_EXALLC	Benign neoplasm: Other parts of oropharynx (all cancers excluded)
CD2_BENIGN_OTHERDIGESTIVE	Benign neoplasm of other and ill-defined parts of digestive system
CD2_BENIGN_OTHERDIGESTIVE_EXALLC	Benign neoplasm of other and ill-defined parts of digestive system (all cancers excluded)
CD2_BENIGN_OTHER_NOS	Benign neoplasm of other and unspecified sites
CD2_BENIGN_OTHER_NOS_EXALLC	Benign neoplasm of other and unspecified sites (all cancers excluded)
CD2_BENIGN_OVARY	Benign neoplasm of ovary
CD2_BENIGN_OVARY_EXALLC	Benign neoplasm of ovary (all cancers excluded)
CD2_BENIGN_PANCREAS	Benign neoplasm: Pancreas
CD2_BENIGN_PANCREAS_EXALLC	Benign neoplasm: Pancreas (all cancers excluded)
CD2_BENIGN_PARATHYROID	Benign neoplasm: Parathyroid gland
CD2_BENIGN_PARATHYROID_EXALLC	Benign neoplasm: Parathyroid gland (all cancers excluded)
CD2_BENIGN_PAROTID	Benign neoplasm: Parotid gland
CD2_BENIGN_PAROTID_EXALLC	Benign neoplasm: Parotid gland (all cancers excluded)
CD2_BENIGN_PERIPH_AUTO_NEURO	Benign neoplasm: Peripheral nerves and autonomic nervous system
CD2_BENIGN_PERIPH_AUTO_NEURO_EXALLC	Benign neoplasm: Peripheral nerves and autonomic nervous system (all cancers excluded)
CD2_BENIGN_PHARYNX_NOS	"Benign neoplasm: Pharynx, unspecified"
CD2_BENIGN_PHARYNX_NOS_EXALLC	"Benign neoplasm: Pharynx, unspecified" (all cancers excluded)
CD2_BENIGN_PITUITARY_CRANIPHAR	"Benign neoplasm: Pituitary gland, craniopharyngeal duct"
CD2_BENIGN_PITUITARY_CRANIPHAR_EXALLC	"Benign neoplasm: Pituitary gland, craniopharyngeal duct" (all cancers excluded)
CD2_BENIGN_PROSTATE	Benign neoplasm: Prostate
CD2_BENIGN_PROSTATE_EXALLC	Benign neoplasm: Prostate (all cancers excluded)
CD2_BENIGN_RECTOSIGMOID_JUNC	Benign neoplasm: Rectosigmoid junction
CD2_BENIGN_RECTOSIGMOID_JUNC_EXALLC	Benign neoplasm: Rectosigmoid junction (all cancers excluded)
CD2_BENIGN_RECTUM	Benign neoplasm: Rectum
CD2_BENIGN_RECTUM_ANAL	"Benign neoplasm: Rectum, anus and anal canal"
CD2_BENIGN_RECTUM_ANAL_CANAL_ICD9	Benign neoplasm: Rectum/anal canal icd-9
CD2_BENIGN_RECTUM_ANAL_CANAL_ICD9_EXALLC	Benign neoplasm: Rectum/anal canal icd-9 (all cancers excluded)
CD2_BENIGN_RECTUM_ANAL_EXALLC	"Benign neoplasm: Rectum, anus and anal canal" (all cancers excluded)
CD2_BENIGN_RECTUM_EXALLC	Benign neoplasm: Rectum (all cancers excluded)
CD2_BENIGN_SALIVARY	Benign neoplasm of major salivary glands
CD2_BENIGN_SALIVARY_EXALLC	Benign neoplasm of major salivary glands (all cancers excluded)
CD2_BENIGN_SALIVARY_NOS	Benign neoplasm: other/unspecified salivary gland
CD2_BENIGN_SALIVARY_NOS_EXALLC	Benign neoplasm: other/unspecified salivary gland (all cancers excluded)
CD2_BENIGN_SIGMOID_COLON	Benign neoplasm: Sigmoid colon
CD2_BENIGN_SIGMOID_COLON_EXALLC	Benign neoplasm: Sigmoid colon (all cancers excluded)
CD2_BENIGN_SKIN	Other benign neoplasms of skin
CD2_BENIGN_SKIN_EAR	Benign neoplasm: Skin of ear and external auricular canal
CD2_BENIGN_SKIN_EAR_EXALLC	Benign neoplasm: Skin of ear and external auricular canal (all cancers excluded)
CD2_BENIGN_SKIN_EXALLC	Other benign neoplasms of skin (all cancers excluded)
CD2_BENIGN_SKIN_EYELID	"Benign neoplasm: Skin of eyelid, including canthus"
CD2_BENIGN_SKIN_EYELID_EXALLC	"Benign neoplasm: Skin of eyelid, including canthus" (all cancers excluded)
CD2_BENIGN_SKIN_FACE	Benign neoplasm: Skin of other and unspecified parts of face
CD2_BENIGN_SKIN_FACE_EXALLC	Benign neoplasm: Skin of other and unspecified parts of face (all cancers excluded)
CD2_BENIGN_SKIN_LIP	Benign neoplasm: Skin of lip
CD2_BENIGN_SKIN_LIP_EXALLC	Benign neoplasm: Skin of lip (all cancers excluded)
CD2_BENIGN_SKIN_LOWERLIMB	"Benign neoplasm: Skin of lower limb, including hip"
CD2_BENIGN_SKIN_LOWERLIMB_EXALLC	"Benign neoplasm: Skin of lower limb, including hip" (all cancers excluded)
CD2_BENIGN_SKIN_NOS	"Benign neoplasm: Skin, unspecified"
CD2_BENIGN_SKIN_NOS_EXALLC	"Benign neoplasm: Skin, unspecified" (all cancers excluded)
CD2_BENIGN_SKIN_SCALPNECK	Benign neoplasm: Skin of scalp and neck
CD2_BENIGN_SKIN_SCALPNECK_EXALLC	Benign neoplasm: Skin of scalp and neck (all cancers excluded)
CD2_BENIGN_SKIN_TRUNK	Benign neoplasm: Skin of trunk
CD2_BENIGN_SKIN_TRUNK_EXALLC	Benign neoplasm: Skin of trunk (all cancers excluded)
CD2_BENIGN_SKIN_UPPERLIMB	"Benign neoplasm: Skin of upper limb, including shoulder"
CD2_BENIGN_SKIN_UPPERLIMB_EXALLC	"Benign neoplasm: Skin of upper limb, including shoulder" (all cancers excluded)
CD2_BENIGN_SMALL_INTESTINE	Benign neoplasm: Small intestine
CD2_BENIGN_SMALL_INTESTINE_EXALLC	Benign neoplasm: Small intestine (all cancers excluded)
CD2_BENIGN_SMALL_INTESTINE_OTH	Benign neoplasm: Other and unspecified parts of small intestine
CD2_BENIGN_SMALL_INTESTINE_OTH_EXALLC	Benign neoplasm: Other and unspecified parts of small intestine (all cancers excluded)
CD2_BENIGN_SPINAL_CORD	Benign neoplasm: Spinal cord
CD2_BENIGN_SPINAL_CORD_EXALLC	Benign neoplasm: Spinal cord (all cancers excluded)
CD2_BENIGN_STOMACH	Benign neoplasm: Stomach
CD2_BENIGN_STOMACH_EXALLC	Benign neoplasm: Stomach (all cancers excluded)
CD2_BENIGN_THYROID	Benign neoplasm of thyroid gland
CD2_BENIGN_THYROID_EXALLC	Benign neoplasm of thyroid gland (all cancers excluded)
CD2_BENIGN_TONGUE	Benign neoplasm: Tongue
CD2_BENIGN_TONGUE_EXALLC	Benign neoplasm: Tongue (all cancers excluded)
CD2_BENIGN_TONSIL	Benign neoplasm: Tonsil
CD2_BENIGN_TONSIL_EXALLC	Benign neoplasm: Tonsil (all cancers excluded)
CD2_BENIGN_TRANSVERSE_COLON	Benign neoplasm: Transverse colon
CD2_BENIGN_TRANSVERSE_COLON_EXALLC	Benign neoplasm: Transverse colon (all cancers excluded)
CD2_BENIGN_URINARY	Benign neoplasm of urinary organs
CD2_BENIGN_URINARY_EXALLC	Benign neoplasm of urinary organs (all cancers excluded)
CD2_BENIGN_UTERINE_TUBES_LIGAMENTS	Benign neoplasm: Uterine tubes and ligaments
CD2_BENIGN_UTERINE_TUBES_LIGAMENTS_EXALLC	Benign neoplasm: Uterine tubes and ligaments (all cancers excluded)
CD2_BENIGN_UTERUS_NOS	Other benign neoplasm of uterus: Other parts/unspecified
CD2_BENIGN_UTERUS_NOS_EXALLC	Other benign neoplasm of uterus: Other parts/unspecified (all cancers excluded)
CD2_BENIGN_UTERUS_OTH	Other benign neoplasms of uterus
CD2_BENIGN_UTERUS_OTH_EXALLC	Other benign neoplasms of uterus (all cancers excluded)
CD2_BENIGN_VAGINA	Benign neoplasm: Vulva
CD2_BENIGN_VAGINA_EXALLC	Benign neoplasm: Vulva (all cancers excluded)
CD2_BENIGN_VULVA	Benign neoplasm: Vagina
CD2_BENIGN_VULVA_EXALLC	Benign neoplasm: Vagina (all cancers excluded)
CD2_FOLLICULAR_LYMPHOMA	Follicular lymphoma
CD2_FOLLICULAR_LYMPHOMA_EXALLC	Follicular lymphoma (all cancers excluded)
CD2_HODGKIN_LYMPHOMA	Hodgkin lymphoma
CD2_HODGKIN_LYMPHOMA_EXALLC	Hodgkin lymphoma (all cancers excluded)
CD2_IMMUNOPROLIFERATIVE	Malignant immunoproliferative diseases
CD2_IMMUNOPROLIFERATIVE_EXALLC	Malignant immunoproliferative diseases (all cancers excluded)
CD2_INSITU	In situ neoplasms
CD2_INSITU_BREAST	Carcinoma in situ of breast
CD2_INSITU_BREAST_EXALLC	Carcinoma in situ of breast (all cancers excluded)
CD2_INSITU_BREAST_INTRADUCTAL	"Carcinoma in situ of breast, intraductal"
CD2_INSITU_BREAST_INTRADUCTAL_EXALLC	"Carcinoma in situ of breast, intraductal" (all cancers excluded)
CD2_INSITU_BREAST_NOS	"Carcinoma in situ of breast, other/unspecified"
CD2_INSITU_BREAST_NOS_EXALLC	"Carcinoma in situ of breast, other/unspecified" (all cancers excluded)
CD2_INSITU_CERVIX_UTERI	Carcinoma in situ of cervix uteri
CD2_INSITU_CERVIX_UTERI_ENDOCERVIX	"Carcinoma in situ of cervix uteri, endocervix"
CD2_INSITU_CERVIX_UTERI_ENDOCERVIX_EXALLC	"Carcinoma in situ of cervix uteri, endocervix" (all cancers excluded)
CD2_INSITU_CERVIX_UTERI_EXALLC	Carcinoma in situ of cervix uteri (all cancers excluded)
CD2_INSITU_CERVIX_UTERI_EXOCERVIX	"Carcinoma in situ of cervix uteri, exocervix"
CD2_INSITU_CERVIX_UTERI_EXOCERVIX_EXALLC	"Carcinoma in situ of cervix uteri, exocervix" (all cancers excluded)
CD2_INSITU_CERVIX_UTERI_NOS	"Carcinoma in situ of uteri, other/unspecified"
CD2_INSITU_CERVIX_UTERI_NOS_EXALLC	"Carcinoma in situ of uteri, other/unspecified" (all cancers excluded)
CD2_INSITU_EXALLC	In situ neoplasms (all cancers excluded)
CD2_INSITU_GENITAL	Carcinoma in situ of other and unspecified genital organs
CD2_INSITU_GENITAL_EXALLC	Carcinoma in situ of other and unspecified genital organs (all cancers excluded)
CD2_INSITU_MELANOMA	Melanoma in situ
CD2_INSITU_MELANOMA_EXALLC	Melanoma in situ (all cancers excluded)
CD2_INSITU_MELANOMA_FACE	Melanoma in situ of other and unspecified parts of face
CD2_INSITU_MELANOMA_FACE_EXALLC	Melanoma in situ of other and unspecified parts of face (all cancers excluded)
CD2_INSITU_MELANOMA_TRUNK	Melanoma in situ of trunk
CD2_INSITU_MELANOMA_TRUNK_EXALLC	Melanoma in situ of trunk (all cancers excluded)
CD2_INSITU_SKIN	Carcinoma in situ of skin
CD2_INSITU_SKIN_EAR	Carcinoma in situ of skin of ear and external auricular canal
CD2_INSITU_SKIN_EAR_EXALLC	Carcinoma in situ of skin of ear and external auricular canal (all cancers excluded)
CD2_INSITU_SKIN_EXALLC	Carcinoma in situ of skin (all cancers excluded)
CD2_INSITU_SKIN_FACE	Carcinoma in situ of skin of other and unspecified parts of face
CD2_INSITU_SKIN_FACE_EXALLC	Carcinoma in situ of skin of other and unspecified parts of face (all cancers excluded)
CD2_INSITU_SKIN_LOWERLIMB	"Carcinoma in situ of skin of lower limb, including hip"
CD2_INSITU_SKIN_LOWERLIMB_EXALLC	"Carcinoma in situ of skin of lower limb, including hip" (all cancers excluded)
CD2_INSITU_SKIN_NOS	"Carcinoma in situ of skin, other sites/unspecified"
CD2_INSITU_SKIN_NOS_EXALLC	"Carcinoma in situ of skin, other sites/unspecified" (all cancers excluded)
CD2_INSITU_SKIN_SCALPNECK	Carcinoma in situ of skin of scalp and neck
CD2_INSITU_SKIN_SCALPNECK_EXALLC	Carcinoma in situ of skin of scalp and neck (all cancers excluded)
CD2_INSITU_SKIN_TRUNK	Carcinoma in situ of skin of trunk
CD2_INSITU_SKIN_TRUNK_EXALLC	Carcinoma in situ of skin of trunk (all cancers excluded)
CD2_INSITU_SKIN_UPPERLIMB	"Carcinoma in situ of skin of upper limb, including shoulder"
CD2_INSITU_SKIN_UPPERLIMB_EXALLC	"Carcinoma in situ of skin of upper limb, including shoulder" (all cancers excluded)
CD2_LEUKAEMIA_NAS	Leukaemia of unspecified cell type
CD2_LEUKAEMIA_NAS_EXALLC	Leukaemia of unspecified cell type (all cancers excluded)
CD2_LYMPHOID_LEUKAEMIA	Lymphoid leukaemia
CD2_LYMPHOID_LEUKAEMIA_EXALLC	Lymphoid leukaemia (all cancers excluded)
CD2_MULTIPLE_MYELOMA_PLASMA_CELL	Multiple myeloma and malignant plasma cell neoplasms
CD2_MULTIPLE_MYELOMA_PLASMA_CELL_EXALLC	Multiple myeloma and malignant plasma cell neoplasms (all cancers excluded)
CD2_MYELOID_LEUKAEMIA	Myeloid leukaemia
CD2_MYELOID_LEUKAEMIA_EXALLC	Myeloid leukaemia (all cancers excluded)
CD2_NONFOLLICULAR_LYMPHOMA	Non-follicular lymphoma
CD2_NONFOLLICULAR_LYMPHOMA_EXALLC	Non-follicular lymphoma (all cancers excluded)
CD2_NONHODGKIN_NAS	Other and unspecified types of non-Hodgkin lymphoma
CD2_NONHODGKIN_NAS_EXALLC	Other and unspecified types of non-Hodgkin lymphoma (all cancers excluded)
CD2_PRIMARY_LYMPHOID_HEMATOPOIETIC	Primary_lymphoid and hematopoietic malignant neoplasms
CD2_PRIMARY_LYMPHOID_HEMATOPOIETIC_EXALLC	Primary_lymphoid and hematopoietic malignant neoplasms (all cancers excluded)
CD2_PRIMARY_LYMPHOID_HEMATOPOIETIC_NAS	"Other and unspecified malignant neoplasms of lymphoid, haematopoietic and related tissue"
CD2_PRIMARY_LYMPHOID_HEMATOPOIETIC_NAS_EXALLC	"Other and unspecified malignant neoplasms of lymphoid, haematopoietic and related tissue" (all cancers excluded)
CD2_TNK_LYMPHOMA	Mature T/NK-cell lymphomas
CD2_TNK_LYMPHOMA_EXALLC	Mature T/NK-cell lymphomas (all cancers excluded)
CHARCOT	Charcot foot
CHILDHOOD_ALLERGY	Childhood allergy (age < 16)
CHIRBIL_PRIM	"Biliary chirrosis, primary"
CHIRHEP_NAS	"Chirrosis of liver, NAS"
CHOLELITH_BROAD	"Cholelithiasis, broad definition with cholecystitis"
CHONDRO_OTH	Other chondrocalcinosis
CHRONHEP_NAS	Chronic hepatitis NAS
CHRONLARGE	Crohn's disease of large intestine
CHRONMYELOPRO	Chronic myeloproliferative disease
CHRONNAS	Chron's disease NAS
CHRONOTH	Other Chron's disease
CHRONSMALL	Crohn's disease of small interstine
CIRRHOSIS_BROAD	"Cirrhosis, broad definition used in the article https://doi.org/10.1101/594523"
CML	"Chronic myeloid leukaemia [CML], BCR/ABL-positive"
CMV_NOS	Other/unspecified cytomegaloviral diseases
COLITALLERG	Allergic colitis
COLITCOLLAG	Collagenous colitis
COLITENTER	Pseudomembranous colitis
COLITNONINFNAS	Noninfectious colitis NAS
COLITRAD	Colitis due to radiation
CONGEN_HEART_ARTER	Congenital malformations of heart and great arteries
COPD_ASTHMA_INFECTIONS	COPD/asthma related infections
COPD_ASTHMA_PNEUMONIA_SEPSIS	COPD/asthma related pneumonia or pneumonia derived septichaemia
COPD_COMORB	COPD-associated co-morbidities
COPD_CVDMETABOCOMORB	"COPD Co-morbidites, CVD and metabolic diseases"
COPD_EARLY	Early onset COPD
COPD_EARLYANDLATER	"COPD, early/later onset"
COPD_EXCL	COPD differential diagnosis
COPD_HOSPITAL	"COPD, hospital admissions"
COPD_HOSPITAL_ASTHMA_INF	"COPD, hospital admission 2, with asthma infections"
COPD_HOSPITAL_ASTHMA_PNEUM_SEPSIS	"COPD, hospital admissions 3, with asthma pneumonia sepsis"
COPD_HOSPITAL_MAIN	"COPD, hospital admissions 1, only main diagnosis"
COPD_INSUFFICIENCY	COPD-related respiratory insufficiency
COPD_LATER	Later onset COPD
COPD_MODE	COPD (mode)
COPD_MULTIMORB	COPD related to multimorbidity
COPD_OPPORTUNIST_INFECTIONS	COPD related to chronic (opportunist) infections
COX_ARTHROSIS	Coxarthrosis [arthrosis of hip](FG)
CPAP	Continuous positive airway pressure
CREST	CR(E)ST syndrome
CROHN_ARTHR	Arthropathy in Crohn disease
C_DIFFICILE_ENTEROCOLITIS	Enterocolitis due to Clostridium difficile
C_PSOR_ARTHR_COMORB	Psoriatic arthropathies related co-morbidities
C_STROKE	STROKE
D1_ICD8	ICD-8 DM (Sub-endpoint used for defining DM endpoints)
D3_ACQHAEMOLYTICANAEMIA	Acquired haemolytic anaemia
D3_ACQHAEMOLYTICANAEMIANAS	Other and unspecified acquired haemolytic anaemias
D3_ACUTEPOSTBLEEDANAEMIA	Acute posthaemorrhagic anaemia
D3_AGRANULOCYTOSIS	Agranulocytosis
D3_AIHA_OTHER	Other autoimmune haemolytic anaemias
D3_ALLERGPURPURA	Allergic purpura
D3_ANAEMIA	Anaemias
D3_ANAEMIAINCHRONICDISEASE	Anaemia in chronic diseases classified elsewhere
D3_ANAEMIANAS	Other and unspecified anaemias
D3_ANAEMIA_B12_DEF	Vitamin B12 deficiency anaemia
D3_ANAEMIA_IRONDEF	Iron deficiency anaemia
D3_ANAEMIA_IRONDEF_BLOODLOSS	Iron deficiency anaemia secondary to blood loss (chronic)
D3_ANAEMIA_IRONDEF_NAS	Other and unspecified iron deficiency
D3_APLASTICANDOTHANAEMIA	Aplastic and other anaemias
D3_BLOOD	Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
D3_BLOODNAS	Other and unspecified diseases of blood and blood-forming organs
D3_BLOODOTHER	Other diseases of blood and blood-forming organs
D3_COAGDEF	Chronic Coagulation defects
D3_COAGDEFNAS	Other and unspecified coagulation defects
D3_COAGDEF_PURPUR_HAEMORRHAGIC	"Coagulation defects, purpura and other haemorrhagic conditions"
D3_COAGOTHER	Other coagulation defects
D3_COMBIMMUDEF	Combined immunodeficiencies
D3_CVID	Common variable immunodeficiency
D3_DEF_IGG	Selective deficiency of immunoglobulin G [IgG] subclasses
D3_EOSINOPHILIA	Eosinophilia
D3_HAEMOLYTICANAEMIA	Haemolytic anaemias
D3_HAEMORRHAGCIRGUANTICO	Haemorrhagic disorder due to circulating anticoagulants
D3_HAEMORRHAGICNAS	Otherand unspecified haemorrhagic conditions
D3_HEREDOTHCLOFACTORS	Hereditary deficiency of other clotting factors
D3_IMMUDEF	Immunodeficiencies
D3_IMMUDEFANTIBODY	Immunodeficiency with predominantly antibody defects
D3_IMMUDEFANTIBODYNAS	Other and unspecified immunodeficiencies with predominantly antibody defects
D3_IMMUDEFOTHER	Other immunodeficiencies
D3_IMMUNEMECHANISM	Certain disorders involving the immune mechanism
D3_IMMUNEMECHANISMNAS	"Other and unspecified disorders involving the immune mechanism, not elsewhere classified"
D3_IMMUNEMECHANISMOTHER	"Other disorders involving the immune mechanism, not elsewhere classified"
D3_ITP	Idiopathic thrombocytopenic purpura
D3_KELA_IMMUDEF	Kela reimbursement Agammaglobulinemia (D80-84)
D3_NONHEREDHYPOGAMMA	Nonhereditary hypogammaglobulinemia
D3_NUTRIANAEMIA	Nutritional anaemias
D3_NUTRIANAEMIAOTHER	Other nutritional anaemias
D3_OTHERANAEMIA	Other anaemias
D3_OTHERAPLASTICANAEMIA	Other and unspecified aplastic anaemias
D3_OTHERBLOOD	Oher diseases of blood and blood-forming organs
D3_OTHERWHITECELL	Other disorders of white blood cells
D3_OTHNONTHROMBOCYTOPENPURPURA	Other nonthrombocytopenic purpura
D3_PURPURA_AND3_OTHER_HAEMORRHAGIC	Purpura and other haemorrhagic conditions
D3_SARCOIDOSIS	Sarcoidosis
D3_SCNDPOLYCYTHAEMIA	Secondary polycythaemia
D3_SCNDTHROMBOCYTOPENIA	Secondary thrombocytopenia
D3_SPLEENDISEASE	Diseases of spleen
D3_THROMBOCYTOPENIANAS	"Thrombocytopenia, unspecified"
D3_VONVILLEBRAND	Von Willebrand disease
D3_WHITEBLOODCELLNAS	Other and unspecified disorders of white blood cells
DEATH	Any death
DENTAL_TMD	TMD related pain
DENTAL_TMD_FIBRO	TMD muscular pain lnked with fibromyalgia
DERMATOPOLY_FG	Dermatopolymyositis (FG)
DIABETES_FG	"Diabetes, varying definitions"
DIAB_MED	Diabetes medication
DIAB_MED_OTHER	Other (not insulin) diabetes medications
DIALYSIS	Dialysis
DIS_THYROID_OTH	Other disorders of thyroid
DM_AION	AION (anterior ischemic optic neuropathy)
DM_BCKGRND_RETINA	Background diabetic retinopathy
DM_BCKGRND_RETINA_NONPROLIF	Severe non-proliferative background diabetic retinopathy
DM_COMORB	Diabetes-related co-morbidities/complications
DM_COMORB_EXMORE	Diabetes-related co-morbidities/complications (more controls excluded)
DM_DIALYSIS	"Diabetes, dialysis"
DM_EYE_OEPR_RETINAL_PHOTOCOAGULATION	Retinal photocoagulation
DM_EYE_OPER	"Operations, diabetic retinopathy"
DM_EYE_OPER_COMB_LENS_VITR	Combined lens and vitreous operation
DM_EYE_OPER_FOR_NON_DIAB_EXCLUSION	Exclude non-diabetic causes for injection of anti-VEGF-antibody or corticosteroid or any drug into vitreous body
DM_EYE_OPER_INJECT_AIRGAS_VITR	Injection of air or gas into the vitreous cavity
DM_EYE_OPER_INJECT_GEL_VITR	Injection of e.g. viscoelastic gel into the vitreous cavity
DM_EYE_OPER_REMOVAL_VITR	Removal of vitreous substitute
