phenocode	name	n_cases	n_controls	path_bucket	path_https
F5_DEMENTIA	Dementia	5675	169744	gs://finngen-public-data-r4/summary_stats/finngen_R4_F5_DEMENTIA.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_F5_DEMENTIA.gz
F5_DEMINOTH	Dementia in other diseases classified elsewhere	486	169744	gs://finngen-public-data-r4/summary_stats/finngen_R4_F5_DEMINOTH.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_F5_DEMINOTH.gz
F5_DEMNAS	Unspecified dementia	1384	169744	gs://finngen-public-data-r4/summary_stats/finngen_R4_F5_DEMNAS.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_F5_DEMNAS.gz
F5_DEPPER	Dependent personality disorder	322	171894	gs://finngen-public-data-r4/summary_stats/finngen_R4_F5_DEPPER.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_F5_DEPPER.gz
F5_DEPRESSIO	Depression	17794	156611	gs://finngen-public-data-r4/summary_stats/finngen_R4_F5_DEPRESSIO.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_F5_DEPRESSIO.gz
F5_DISPER	Dissocial personality disorder	275	171894	gs://finngen-public-data-r4/summary_stats/finngen_R4_F5_DISPER.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_F5_DISPER.gz
F5_DISSOCIATIVE	Dissociative [conversion] disorders	504	161390	gs://finngen-public-data-r4/summary_stats/finngen_R4_F5_DISSOCIATIVE.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_F5_DISSOCIATIVE.gz
F5_Dementia_U	Undefined dementia	1383	172992	gs://finngen-public-data-r4/summary_stats/finngen_R4_F5_Dementia_U.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_F5_Dementia_U.gz
F5_Dementia_U_EXMORE	Undefined dementia (more controls excluded)	1383	93979	gs://finngen-public-data-r4/summary_stats/finngen_R4_F5_Dementia_U_EXMORE.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_F5_Dementia_U_EXMORE.gz
F5_EATING	Eating disorders	1427	175472	gs://finngen-public-data-r4/summary_stats/finngen_R4_F5_EATING.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_F5_EATING.gz
F5_EATOTH	Other eating disorders	619	173440	gs://finngen-public-data-r4/summary_stats/finngen_R4_F5_EATOTH.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_F5_EATOTH.gz
F5_EMOCHILD	Emotional disorders and disorders of social functioning with onset specific to childhood	659	174749	gs://finngen-public-data-r4/summary_stats/finngen_R4_F5_EMOCHILD.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_F5_EMOCHILD.gz
F5_EMOPER	Emotionally unstable personality disorder	1946	171894	gs://finngen-public-data-r4/summary_stats/finngen_R4_F5_EMOPER.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_F5_EMOPER.gz
F5_GAD	Generalized anxiety disorder	1554	161390	gs://finngen-public-data-r4/summary_stats/finngen_R4_F5_GAD.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_F5_GAD.gz
F5_HABIT	Habit and impulse disorders	199	171894	gs://finngen-public-data-r4/summary_stats/finngen_R4_F5_HABIT.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_F5_HABIT.gz
F5_HYPERKIN	Hyperkinetic disorders (excl. ADHD)	172	174749	gs://finngen-public-data-r4/summary_stats/finngen_R4_F5_HYPERKIN.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_F5_HYPERKIN.gz
F5_KELAMENT	Kela-cod for severe mental illness	8952	167277	gs://finngen-public-data-r4/summary_stats/finngen_R4_F5_KELAMENT.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_F5_KELAMENT.gz
F5_KELARET	Kela-code for behavioural disturbances in mental retardation	116	176324	gs://finngen-public-data-r4/summary_stats/finngen_R4_F5_KELARET.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_F5_KELARET.gz
F5_MANIA	Manic episode	506	156611	gs://finngen-public-data-r4/summary_stats/finngen_R4_F5_MANIA.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_F5_MANIA.gz
F5_MENTALUNSPE	Mental disorders, not otherwise specified	1152	167277	gs://finngen-public-data-r4/summary_stats/finngen_R4_F5_MENTALUNSPE.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_F5_MENTALUNSPE.gz
F5_MENTORG	Other mental disorders due to brain damage and dysfunction and to physical disease	1085	169744	gs://finngen-public-data-r4/summary_stats/finngen_R4_F5_MENTORG.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_F5_MENTORG.gz
F5_MENTPUER	Mental and behauvioural disorders associated with the puerperium	158	173440	gs://finngen-public-data-r4/summary_stats/finngen_R4_F5_MENTPUER.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_F5_MENTPUER.gz
F5_MENTRET	Mental retardation	575	176324	gs://finngen-public-data-r4/summary_stats/finngen_R4_F5_MENTRET.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_F5_MENTRET.gz
F5_MILDRET	Mild mental retardation	381	176324	gs://finngen-public-data-r4/summary_stats/finngen_R4_F5_MILDRET.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_F5_MILDRET.gz
F5_MIXEDDEV	Mixed specific developmental disorders	177	175519	gs://finngen-public-data-r4/summary_stats/finngen_R4_F5_MIXEDDEV.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_F5_MIXEDDEV.gz
F5_MIXPER	Mixed and other personality disorders	1277	171894	gs://finngen-public-data-r4/summary_stats/finngen_R4_F5_MIXPER.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_F5_MIXPER.gz
F5_MOOD	Mood [affective] disorders	20288	156611	gs://finngen-public-data-r4/summary_stats/finngen_R4_F5_MOOD.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_F5_MOOD.gz
F5_MOODOTH	Other and unspecidied mood [affective] disorders	929	156611	gs://finngen-public-data-r4/summary_stats/finngen_R4_F5_MOODOTH.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_F5_MOODOTH.gz
F5_MOTOR	Specific developmental disorder of motor function	163	175519	gs://finngen-public-data-r4/summary_stats/finngen_R4_F5_MOTOR.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_F5_MOTOR.gz
F5_NEUROTIC	Neurotic, stress-related and somatoform disorders	15509	161390	gs://finngen-public-data-r4/summary_stats/finngen_R4_F5_NEUROTIC.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_F5_NEUROTIC.gz
F5_NEUROTICOTH	Other neurotic disorders	802	161390	gs://finngen-public-data-r4/summary_stats/finngen_R4_F5_NEUROTICOTH.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_F5_NEUROTICOTH.gz
F5_OCD	Obsessive-compulsive disorder	790	161390	gs://finngen-public-data-r4/summary_stats/finngen_R4_F5_OCD.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_F5_OCD.gz
F5_OPIOIDS	Mental and behavioural disorders due to opioids	428	174101	gs://finngen-public-data-r4/summary_stats/finngen_R4_F5_OPIOIDS.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_F5_OPIOIDS.gz
F5_ORGANIC	Organic, including symptomatic, mental disorders	7155	169744	gs://finngen-public-data-r4/summary_stats/finngen_R4_F5_ORGANIC.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_F5_ORGANIC.gz
F5_OTHERSUB	Mental and behavioural disorders due to multiple drug use and use of multiple drugs and use of other psycoactive substances	1119	174101	gs://finngen-public-data-r4/summary_stats/finngen_R4_F5_OTHERSUB.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_F5_OTHERSUB.gz
F5_OTHPER	Other specified and unspecified personality disorders	1563	171894	gs://finngen-public-data-r4/summary_stats/finngen_R4_F5_OTHPER.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_F5_OTHPER.gz
F5_OTHRET	Other and unspecified mental retardation	170	176324	gs://finngen-public-data-r4/summary_stats/finngen_R4_F5_OTHRET.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_F5_OTHRET.gz
F5_PANIC	Panic disorder	1760	161390	gs://finngen-public-data-r4/summary_stats/finngen_R4_F5_PANIC.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_F5_PANIC.gz
F5_PARAPER	Paranoid personality disorder	290	171894	gs://finngen-public-data-r4/summary_stats/finngen_R4_F5_PARAPER.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_F5_PARAPER.gz
F5_PERSBEHORG	Personality and behavioural disorders due to brain disease, damage and dysfunction	189	169744	gs://finngen-public-data-r4/summary_stats/finngen_R4_F5_PERSBEHORG.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_F5_PERSBEHORG.gz
F5_PERSMOOD	Persistent mood disorders	3021	156611	gs://finngen-public-data-r4/summary_stats/finngen_R4_F5_PERSMOOD.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_F5_PERSMOOD.gz
F5_PERSOBEH	Disorders of adult personality and behaviour	5005	171894	gs://finngen-public-data-r4/summary_stats/finngen_R4_F5_PERSOBEH.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_F5_PERSOBEH.gz
F5_PERSONALITY	Specific personality disorders	4126	171894	gs://finngen-public-data-r4/summary_stats/finngen_R4_F5_PERSONALITY.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_F5_PERSONALITY.gz
F5_PERVASIVE	Pervasive developmental disorders excl. Autism + Asperger	107	175519	gs://finngen-public-data-r4/summary_stats/finngen_R4_F5_PERVASIVE.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_F5_PERVASIVE.gz
F5_PHOBANX	Phobic anxiety disorders	1642	161390	gs://finngen-public-data-r4/summary_stats/finngen_R4_F5_PHOBANX.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_F5_PHOBANX.gz
F5_PHYSBEHOTH	Unspefcified behauvioural syndromes associated with physiological disturbances and physical factors +Phsyiological and behauvioural factors associated with disorders of diseases classified elsewhere	192	173440	gs://finngen-public-data-r4/summary_stats/finngen_R4_F5_PHYSBEHOTH.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_F5_PHYSBEHOTH.gz
F5_PSYCH	Psychiatric diseases	41704	135195	gs://finngen-public-data-r4/summary_stats/finngen_R4_F5_PSYCH.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_F5_PSYCH.gz
F5_PSYCHDEV	Disorders of psychological developtment	1380	175519	gs://finngen-public-data-r4/summary_stats/finngen_R4_F5_PSYCHDEV.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_F5_PSYCHDEV.gz
F5_PSYCHDEVOTH	Other and unspecified disorders of psychological development	129	175519	gs://finngen-public-data-r4/summary_stats/finngen_R4_F5_PSYCHDEVOTH.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_F5_PSYCHDEVOTH.gz
F5_PSYCHOTH	Other and unspecified nonorganic psychotic disorders	4609	168900	gs://finngen-public-data-r4/summary_stats/finngen_R4_F5_PSYCHOTH.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_F5_PSYCHOTH.gz
F5_PSYTRANS	Acute and transient psychotic disorders	2628	168900	gs://finngen-public-data-r4/summary_stats/finngen_R4_F5_PSYTRANS.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_F5_PSYTRANS.gz
F5_PTSD	Post-traumatic stress disorder	781	161390	gs://finngen-public-data-r4/summary_stats/finngen_R4_F5_PTSD.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_F5_PTSD.gz
F5_SCHIZO	Schizophrenia, schizotypal and delusional disorders	7999	168900	gs://finngen-public-data-r4/summary_stats/finngen_R4_F5_SCHIZO.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_F5_SCHIZO.gz
F5_SCHIZOAFF	Schizoaffective disorder	1807	168900	gs://finngen-public-data-r4/summary_stats/finngen_R4_F5_SCHIZOAFF.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_F5_SCHIZOAFF.gz
F5_SCHIZOTYP	Schizotypal disorder	553	168900	gs://finngen-public-data-r4/summary_stats/finngen_R4_F5_SCHIZOTYP.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_F5_SCHIZOTYP.gz
F5_SCHIZPER	Schizoid personality disorder	348	171894	gs://finngen-public-data-r4/summary_stats/finngen_R4_F5_SCHIZPER.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_F5_SCHIZPER.gz
F5_SCHOLA	Specific development disorders of scholastic skills	417	175519	gs://finngen-public-data-r4/summary_stats/finngen_R4_F5_SCHOLA.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_F5_SCHOLA.gz
F5_SCHZPHR	Schizophrenia	4516	168900	gs://finngen-public-data-r4/summary_stats/finngen_R4_F5_SCHZPHR.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_F5_SCHZPHR.gz
F5_SEDAHYP	Mental and behavioural disorders due to sedatives or hypnotics	924	174101	gs://finngen-public-data-r4/summary_stats/finngen_R4_F5_SEDAHYP.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_F5_SEDAHYP.gz
F5_SEXDYS	Sexual dysfunction	124	173440	gs://finngen-public-data-r4/summary_stats/finngen_R4_F5_SEXDYS.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_F5_SEXDYS.gz
F5_SLEEP	Sleep disorders	1646	173440	gs://finngen-public-data-r4/summary_stats/finngen_R4_F5_SLEEP.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_F5_SLEEP.gz
F5_SOMATOFORM	Somatoform disorder	2004	161390	gs://finngen-public-data-r4/summary_stats/finngen_R4_F5_SOMATOFORM.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_F5_SOMATOFORM.gz
F5_SPEECH	Specific development disorders of speech and language	595	175519	gs://finngen-public-data-r4/summary_stats/finngen_R4_F5_SPEECH.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_F5_SPEECH.gz
F5_STIMUL	Mental and behavioural disorders due to use of other stimulants, including caffeine	386	174101	gs://finngen-public-data-r4/summary_stats/finngen_R4_F5_STIMUL.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_F5_STIMUL.gz
F5_STRESSOTH	Other reactioin to severe stress, and adjustment disorders	5462	161390	gs://finngen-public-data-r4/summary_stats/finngen_R4_F5_STRESSOTH.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_F5_STRESSOTH.gz
F5_SUBSNOALCO	Substance use, excluding alcohol	2798	166915	gs://finngen-public-data-r4/summary_stats/finngen_R4_F5_SUBSNOALCO.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_F5_SUBSNOALCO.gz
F5_SUBSTANCE	Mental and behavioural disorders due to psychoctive substance use	9984	166915	gs://finngen-public-data-r4/summary_stats/finngen_R4_F5_SUBSTANCE.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_F5_SUBSTANCE.gz
F5_TIC	Tic disorders	120	174749	gs://finngen-public-data-r4/summary_stats/finngen_R4_F5_TIC.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_F5_TIC.gz
F5_TOBAC	Mental and behavioural disorders due to tobacco	709	174101	gs://finngen-public-data-r4/summary_stats/finngen_R4_F5_TOBAC.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_F5_TOBAC.gz
F5_UNSMENDIS	Unspecified mental disorder	9622	167277	gs://finngen-public-data-r4/summary_stats/finngen_R4_F5_UNSMENDIS.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_F5_UNSMENDIS.gz
F5_VASCDEM	Vascular dementia	724	171224	gs://finngen-public-data-r4/summary_stats/finngen_R4_F5_VASCDEM.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_F5_VASCDEM.gz
FALLS	Falls/tendenct to fall	1053	175846	gs://finngen-public-data-r4/summary_stats/finngen_R4_FALLS.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_FALLS.gz
FE	Focal epilepsy	731	172311	gs://finngen-public-data-r4/summary_stats/finngen_R4_FE.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_FE.gz
FEMHER_UNILATERAL	Femoral hernia, unilateral	304	154928	gs://finngen-public-data-r4/summary_stats/finngen_R4_FEMHER_UNILATERAL.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_FEMHER_UNILATERAL.gz
FEMINGHER_BILATERAL	Inguinal or femoral hernia, bilateral	1174	154928	gs://finngen-public-data-r4/summary_stats/finngen_R4_FEMINGHER_BILATERAL.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_FEMINGHER_BILATERAL.gz
FEMNINGHER_UNILATERAL	Inguinal of femoral hernia, unilateral	304	154928	gs://finngen-public-data-r4/summary_stats/finngen_R4_FEMNINGHER_UNILATERAL.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_FEMNINGHER_UNILATERAL.gz
FE_MODE	Focal epilepsy	430	172311	gs://finngen-public-data-r4/summary_stats/finngen_R4_FE_MODE.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_FE_MODE.gz
FE_STRICT	Focal epilepsy	481	172311	gs://finngen-public-data-r4/summary_stats/finngen_R4_FE_STRICT.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_FE_STRICT.gz
FG_CARDMYO	Cardiomyopathy (excluding other)	1730	132963	gs://finngen-public-data-r4/summary_stats/finngen_R4_FG_CARDMYO.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_FG_CARDMYO.gz
FG_CEREBVASC	Cerebrovascular diseases (FINNGEN)	10367	97214	gs://finngen-public-data-r4/summary_stats/finngen_R4_FG_CEREBVASC.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_FG_CEREBVASC.gz
FG_CVD	Cardiovascular diseases (excluding rheumatic etc)	79685	97214	gs://finngen-public-data-r4/summary_stats/finngen_R4_FG_CVD.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_FG_CVD.gz
FG_DISVEINLYMPH	Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified (FINNGEN)	19930	97214	gs://finngen-public-data-r4/summary_stats/finngen_R4_FG_DISVEINLYMPH.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_FG_DISVEINLYMPH.gz
FG_DOAAC	Diseases of arteries, arterioles and capillaries (FINNGEN)	6988	97214	gs://finngen-public-data-r4/summary_stats/finngen_R4_FG_DOAAC.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_FG_DOAAC.gz
FG_HYPERTENSION	Hypertensive diseases (excluding secondary)	43576	97214	gs://finngen-public-data-r4/summary_stats/finngen_R4_FG_HYPERTENSION.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_FG_HYPERTENSION.gz
FG_OTH	Other CVD (FINNGEN)	1398	97214	gs://finngen-public-data-r4/summary_stats/finngen_R4_FG_OTH.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_FG_OTH.gz
FG_OTHHEART	Other heart diseases	43936	97214	gs://finngen-public-data-r4/summary_stats/finngen_R4_FG_OTHHEART.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_FG_OTHHEART.gz
FG_PULMHEART	Pulmonary heart disease	3016	173883	gs://finngen-public-data-r4/summary_stats/finngen_R4_FG_PULMHEART.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_FG_PULMHEART.gz
G6_AD_WIDE	Alzheimer's disease, wide definition	4466	172433	gs://finngen-public-data-r4/summary_stats/finngen_R4_G6_AD_WIDE.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_G6_AD_WIDE.gz
G6_AD_WIDE_EXMORE	Alzheimer's disease, wide definition (more controls excluded)	4466	93979	gs://finngen-public-data-r4/summary_stats/finngen_R4_G6_AD_WIDE_EXMORE.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_G6_AD_WIDE_EXMORE.gz
G6_ALCODEGEN	Degeneration of the brain due to alcohol	249	173328	gs://finngen-public-data-r4/summary_stats/finngen_R4_G6_ALCODEGEN.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_G6_ALCODEGEN.gz
G6_ALS	Motor neuron disease	147	94096	gs://finngen-public-data-r4/summary_stats/finngen_R4_G6_ALS.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_G6_ALS.gz
G6_ALZHEIMER	Alzheimer disease	3060	173839	gs://finngen-public-data-r4/summary_stats/finngen_R4_G6_ALZHEIMER.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_G6_ALZHEIMER.gz
G6_ALZHEIMER_EXMORE	Alzheimer disease (more controls excluded)	3060	93979	gs://finngen-public-data-r4/summary_stats/finngen_R4_G6_ALZHEIMER_EXMORE.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_G6_ALZHEIMER_EXMORE.gz
G6_ANOXBRAINDAM	Anoxic brain damage	123	167072	gs://finngen-public-data-r4/summary_stats/finngen_R4_G6_ANOXBRAINDAM.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_G6_ANOXBRAINDAM.gz
G6_ATROPHCIRCUM	Circumscribed brain atrophy	182	173328	gs://finngen-public-data-r4/summary_stats/finngen_R4_G6_ATROPHCIRCUM.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_G6_ATROPHCIRCUM.gz
G6_ATYFAC	Atypical facial pain	540	158705	gs://finngen-public-data-r4/summary_stats/finngen_R4_G6_ATYFAC.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_G6_ATYFAC.gz
G6_AUTONOM	Autonomic disorders	190	167072	gs://finngen-public-data-r4/summary_stats/finngen_R4_G6_AUTONOM.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_G6_AUTONOM.gz
G6_BELLPA	Bell's palsy	1303	158705	gs://finngen-public-data-r4/summary_stats/finngen_R4_G6_BELLPA.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_G6_BELLPA.gz
G6_BRACHPLE	Brachial plexus disorders	936	158705	gs://finngen-public-data-r4/summary_stats/finngen_R4_G6_BRACHPLE.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_G6_BRACHPLE.gz
G6_CARPTU	Carpal tunnel syndrome	8576	158705	gs://finngen-public-data-r4/summary_stats/finngen_R4_G6_CARPTU.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_G6_CARPTU.gz
G6_CAUDA	Cauda equina syndrome	113	175490	gs://finngen-public-data-r4/summary_stats/finngen_R4_G6_CAUDA.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_G6_CAUDA.gz
G6_CAUSALGIA	Causalgia	157	158705	gs://finngen-public-data-r4/summary_stats/finngen_R4_G6_CAUSALGIA.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_G6_CAUSALGIA.gz
G6_CERCYST	Cerebral cysts	523	167072	gs://finngen-public-data-r4/summary_stats/finngen_R4_G6_CERCYST.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_G6_CERCYST.gz
G6_CERVROOT	Cervical root disorders	105	158705	gs://finngen-public-data-r4/summary_stats/finngen_R4_G6_CERVROOT.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_G6_CERVROOT.gz
G6_CP	Cerebral palsy	218	175490	gs://finngen-public-data-r4/summary_stats/finngen_R4_G6_CP.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_G6_CP.gz
G6_CPETAL	Cerebral palsy and other paralytic syndromes	1409	175490	gs://finngen-public-data-r4/summary_stats/finngen_R4_G6_CPETAL.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_G6_CPETAL.gz
G6_DEGENOTH	Other and unspecified degenerative diseases of nervous system	182	173328	gs://finngen-public-data-r4/summary_stats/finngen_R4_G6_DEGENOTH.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_G6_DEGENOTH.gz
G6_DEMYEL	Demyelenating diseases of the central nervous system	978	175921	gs://finngen-public-data-r4/summary_stats/finngen_R4_G6_DEMYEL.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_G6_DEMYEL.gz
G6_DIABETNEUR	Diabethic neuropathy	1127	158705	gs://finngen-public-data-r4/summary_stats/finngen_R4_G6_DIABETNEUR.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_G6_DIABETNEUR.gz
G6_DISBROTHUNS	Disorders of brain, other and unspecified	112	167072	gs://finngen-public-data-r4/summary_stats/finngen_R4_G6_DISBROTHUNS.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_G6_DISBROTHUNS.gz
G6_DYSTON	Dystonia	584	173215	gs://finngen-public-data-r4/summary_stats/finngen_R4_G6_DYSTON.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_G6_DYSTON.gz
G6_ENCEPHOTH	Other encephalitis	257	175924	gs://finngen-public-data-r4/summary_stats/finngen_R4_G6_ENCEPHOTH.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_G6_ENCEPHOTH.gz
G6_EPIPAROX	Episodal and paroxysmal disorders	32119	144780	gs://finngen-public-data-r4/summary_stats/finngen_R4_G6_EPIPAROX.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_G6_EPIPAROX.gz
G6_EPLEPSY	Epilepsy	4588	144780	gs://finngen-public-data-r4/summary_stats/finngen_R4_G6_EPLEPSY.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_G6_EPLEPSY.gz
G6_FACOTH	Other facial nerve disorders	275	158705	gs://finngen-public-data-r4/summary_stats/finngen_R4_G6_FACOTH.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_G6_FACOTH.gz
G6_FEMLAPOP	Lesion of lateral popliteal nerve	467	158705	gs://finngen-public-data-r4/summary_stats/finngen_R4_G6_FEMLAPOP.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_G6_FEMLAPOP.gz
